FIPS,Median_Household_Income_2018
0,61937
1000,49881
1001,59338
1003,57588
1005,34382
1007,46064
1009,50412
1011,29267
1013,37365
1015,45400
1017,39917
1019,42132
1021,47547
1023,39907
1025,40741
1027,39201
1029,46495
1031,55122
1033,49055
1035,32613
1037,42423
1039,40203
1041,39057
1043,45796
1045,45309
1047,34035
1049,39491
1051,60367
1053,38418
1055,44903
1057,39254
1059,39388
1061,37823
1063,28524
1065,34724
1067,46027
1069,47993
1071,41929
1073,55013
1075,40936
1077,48707
1079,43909
1081,48937
1083,64863
1085,33973
1087,32495
1089,63755
1091,37733
1093,37887
1095,46233
1097,43598
1099,39556
1101,49640
1103,52797
1105,26814
1107,37586
1109,37259
1111,40546
1113,39104
1115,57284
1117,75663
1119,27859
1121,41630
1123,42205
1125,52557
1127,45434
1129,44424
1131,25385
1133,41156
2000,74912
2013,70081
2016,82633
2020,82113
2050,44304
2060,77257
2068,75477
2070,54524
2090,74268
2100,58943
2105,51188
2110,79173
2122,65439
2130,68309
2150,74109
2158,32728
2164,49403
2170,74649
2180,55318
2185,89276
2188,59337
2195,66075
2198,49356
2201,
2220,71825
2230,74635
2232,
2240,63527
2261,68528
2275,57832
2280,
2282,59523
2290,38912
4000,59079
4001,33652
4003,49164
4005,60187
4007,43585
4009,50157
4011,65818
4012,37350
4013,65234
4015,45129
4017,40650
4019,53395
4021,58848
4023,40545
4025,48758
4027,44116
5000,47094
5001,43887
5003,41127
5005,39686
5007,68978
5009,44482
5011,37729
5013,44969
5015,45023
5017,31787
5019,45408
5021,37687
5023,44902
5025,47600
5027,40909
5029,44565
5031,45615
5033,47363
5035,42606
5037,41214
5039,37259
5041,36132
5043,42494
5045,53882
5047,43696
5049,35630
5051,43610
5053,52050
5055,46512
5057,38682
5059,47205
5061,40199
5063,45596
5065,37828
5067,36573
5069,38596
5071,39381
5073,35527
5075,40308
5077,28080
5079,44951
5081,43559
5083,41471
5085,56651
5087,42674
5089,36581
5091,42162
5093,36718
5095,32922
5097,38318
5099,37626
5101,36078
5103,37624
5105,45342
5107,29945
5109,41534
5111,37370
5113,39048
5115,45788
5117,43245
5119,49957
5121,37799
5123,33257
5125,63677
5127,35826
5129,31659
5131,46843
5133,44100
5135,36032
5137,34009
5139,45335
5141,40486
5143,50893
5145,44811
5147,34306
5149,41729
6000,75250
6001,101744
6003,55384
6005,58515
6007,50945
6009,62984
6011,57249
6013,101463
6015,48518
6017,81869
6019,52318
6021,47365
6023,49471
6025,46633
6027,53793
6029,51586
6031,58255
6033,45086
6035,57705
6037,67986
6039,53632
6041,122933
6043,51402
6045,51386
6047,56169
6049,45227
6051,66499
6053,69665
6055,85624
6057,66681
6059,89373
6061,89175
6063,55079
6065,66793
6067,69475
6069,80063
6071,63310
6073,78777
6075,110601
6077,63567
6079,70626
6081,122930
6083,75646
6085,125933
6087,84213
6089,53908
6091,52308
6093,47560
6095,82808
6097,81002
6099,59616
6101,57879
6103,47572
6105,40680
6107,48763
6109,56500
6111,84170
6113,67804
6115,47504
8000,71949
8001,70199
8003,42897
8005,76665
8007,53337
8009,38294
8011,37659
8013,83591
8014,96924
8015,56168
8017,54504
8019,74019
8021,38777
8023,31557
8025,35880
8027,55242
8029,46786
8031,68069
8033,47482
8035,120670
8037,86896
8039,98247
8041,67923
8043,47885
8045,74421
8047,72949
8049,69214
8051,61268
8053,62149
8055,38242
8057,51457
8059,85550
8061,44704
8063,48342
8065,51802
8067,66219
8069,71306
8071,41485
8073,46690
8075,53168
8077,51132
8079,60210
8081,59500
8083,50180
8085,52576
8087,55387
8089,40064
8091,68900
8093,72121
8095,52367
8097,89034
8099,42455
8101,48308
8103,63411
8105,44171
8107,81033
8109,36869
8111,46878
8113,69458
8115,40009
8117,80078
8119,64850
8121,47869
8123,75629
8125,53253
9000,76366
9001,91183
9003,73037
9005,76304
9007,88709
9009,67720
9011,67790
9013,89584
9015,65182
10000,65467
10001,54980
10003,69562
10005,59821
11000,82533
11001,82533
12000,55433
12001,51026
12003,52804
12005,51777
12007,45075
12009,57612
12011,57200
12013,38323
12015,52724
12017,41556
12019,62835
12021,70649
12023,46195
12027,37233
12029,37148
12031,55733
12033,50644
12035,58975
12037,40297
12039,42259
12041,42186
12043,38680
12045,45426
12047,36299
12049,39169
12051,44391
12053,45884
12055,39994
12057,58361
12059,38040
12061,58228
12063,39545
12065,46332
12067,42689
12069,52447
12071,56343
12073,51046
12075,39037
12077,40814
12079,38249
12081,59587
12083,44517
12085,61592
12086,52043
12087,67094
12089,66898
12091,62779
12093,42258
12095,58037
12097,50473
12099,61735
12101,53788
12103,52226
12105,51354
12107,39578
12109,81925
12111,53377
12113,69541
12115,61652
12117,67187
12119,55324
12121,38525
12123,42307
12125,45906
12127,50285
12129,58203
12131,60973
12133,39225
13000,58634
13001,42781
13003,36779
13005,38775
13007,38288
13009,42727
13011,55384
13013,61413
13015,57409
13017,35020
13019,39412
13021,41390
13023,46019
13025,41874
13027,36354
13029,79658
13031,43766
13033,42785
13035,48831
13037,33393
13039,56555
13043,35841
13045,52502
13047,55807
13049,40499
13051,54165
13053,46869
13055,39513
13057,82733
13059,42112
13061,30239
13063,46059
13065,37593
13067,78603
13069,39480
13071,38633
13073,82184
13075,38827
13077,70974
13079,48004
13081,36096
13083,48779
13085,68835
13087,38441
13089,63477
13091,35636
13093,37278
13095,38806
13097,60512
13099,34984
13101,38667
13103,65793
13105,39681
13107,37574
13109,37319
13111,43439
13113,95021
13115,44906
13117,105921
13119,42904
13121,70808
13123,47757
13125,42820
13127,53906
13129,49101
13131,41002
13133,54016
13135,72008
13137,51829
13139,61631
13141,31716
