"County, State",Cumulative Case Count,Date,State,County,FIPS,latitude,longitude,num_staffed_beds,num_icu_beds,num_ventilators_est
"Autauga County, Alabama",1281,8/26/2020,Alabama,Autauga,01001,32.53952745,-86.64408227,55,6,4
"Baldwin County, Alabama",4166,8/26/2020,Alabama,Baldwin,01003,30.72774991,-87.72207058,362,51,33
"Barbour County, Alabama",616,8/26/2020,Alabama,Barbour,01005,31.868263,-85.3871286,30,5,3
"Bibb County, Alabama",513,8/26/2020,Alabama,Bibb,01007,32.99642064,-87.1251146,25,4,3
"Blount County, Alabama",968,8/26/2020,Alabama,Blount,01009,33.98210918,-86.56790593,25,6,4
"Bullock County, Alabama",526,8/26/2020,Alabama,Bullock,01011,32.10030533,-85.71265535,30,5,3
"Butler County, Alabama",809,8/26/2020,Alabama,Butler,01013,31.75300095,-86.68057478,44,7,5
"Calhoun County, Alabama",2215,8/26/2020,Alabama,Calhoun,01015,33.77483727,-85.82630386,435,30,20
"Chambers County, Alabama",862,8/26/2020,Alabama,Chambers,01017,32.91360079,-85.39072749,84,15,10
"Cherokee County, Alabama",331,8/26/2020,Alabama,Cherokee,01019,34.17805983,-85.60638968,45,8,5
"Chilton County, Alabama",965,8/26/2020,Alabama,Chilton,01021,32.85044126,-86.7173256,26,6,4
"Choctaw County, Alabama",315,8/26/2020,Alabama,Choctaw,01023,32.02227341,-88.2656443,25,4,3
"Clarke County, Alabama",900,8/26/2020,Alabama,Clarke,01025,31.68099859,-87.83548597,56,10,6
"Clay County, Alabama",333,8/26/2020,Alabama,Clay,01027,33.26984193,-85.85836077,46,4,3
"Cleburne County, Alabama",191,8/26/2020,Alabama,Cleburne,01029,33.67679204,-85.52005899,,,
"Coffee County, Alabama",909,8/26/2020,Alabama,Coffee,01031,31.39932826,-85.98901039,99,7,5
"Colbert County, Alabama",1367,8/26/2020,Alabama,Colbert,01033,34.69847452,-87.80168544,300,22,14
"Conecuh County, Alabama",431,8/26/2020,Alabama,Conecuh,01035,31.43401703,-86.99320044,44,8,5
"Coosa County, Alabama",110,8/26/2020,Alabama,Coosa,01037,32.93690146,-86.24847739,,,
"Covington County, Alabama",796,8/26/2020,Alabama,Covington,01039,31.2477854,-86.45050893,128,13,8
"Crenshaw County, Alabama",377,8/26/2020,Alabama,Crenshaw,01041,31.72941803,-86.31593104,57,5,3
"Cullman County, Alabama",1386,8/26/2020,Alabama,Cullman,01043,34.13020303,-86.86888037,185,12,8
"Dale County, Alabama",975,8/26/2020,Alabama,Dale,01045,31.43037123,-85.61095742,77,6,4
"Dallas County, Alabama",1395,8/26/2020,Alabama,Dallas,01047,32.32688101,-87.1086671,109,23,15
"DeKalb County, Alabama",2010,8/26/2020,Alabama,DeKalb,01049,34.45946862,-85.80782906,97,12,8
"Elmore County, Alabama",1935,8/26/2020,Alabama,Elmore,01051,32.59785413,-86.14415284,70,11,7
"Escambia County, Alabama",1193,8/26/2020,Alabama,Escambia,01053,31.1256789,-87.15918694,95,14,9
"Etowah County, Alabama",2568,8/26/2020,Alabama,Etowah,01055,34.04567266,-86.04051873,590,85,55
"Fayette County, Alabama",272,8/26/2020,Alabama,Fayette,01057,33.72076938,-87.73886638,45,8,5
"Franklin County, Alabama",1465,8/26/2020,Alabama,Franklin,01059,34.44235334,-87.84289505,74,11,7
"Geneva County, Alabama",365,8/26/2020,Alabama,Geneva,01061,31.09389027,-85.83572839,73,6,4
"Greene County, Alabama",273,8/26/2020,Alabama,Greene,01063,32.85504247,-87.95684022,20,4,3
"Hale County, Alabama",517,8/26/2020,Alabama,Hale,01065,32.76039258,-87.63284988,28,5,3
"Henry County, Alabama",310,8/26/2020,Alabama,Henry,01067,31.51148016,-85.24267944,,,
"Houston County, Alabama",1762,8/26/2020,Alabama,Houston,01069,31.15197924,-85.29939599,666,72,47
"Jackson County, Alabama",1238,8/26/2020,Alabama,Jackson,01071,34.78144169,-85.99750489,92,10,6
"Jefferson County, Alabama",15068,8/26/2020,Alabama,Jefferson,01073,33.55554728,-86.895063,3816,393,255
"Lamar County, Alabama",266,8/26/2020,Alabama,Lamar,01075,33.77995024,-88.09668032,,,
