Year,Unemployment Rate,FIPS
2000,3.995035346,0
2000,4.6,1000
2000,4,1001
2000,3.7,1003
2000,5.5,1005
2000,5.3,1007
2000,3.5,1009
2000,8.5,1011
2000,7.8,1013
2000,5.1,1015
2000,4.4,1017
2000,4.5,1019
2000,4.3,1021
2000,6.5,1023
2000,7.3,1025
2000,6.1,1027
2000,4.1,1029
2000,5.8,1031
2000,5.5,1033
2000,6.5,1035
2000,5.4,1037
2000,6.9,1039
2000,5.7,1041
2000,4.1,1043
2000,5.2,1045
2000,8,1047
2000,4,1049
2000,4,1051
2000,5.2,1053
2000,5.8,1055
2000,5.8,1057
2000,6.5,1059
2000,5.1,1061
2000,6.8,1063
2000,6,1065
2000,4.9,1067
2000,4.4,1069
2000,5.2,1071
2000,4,1073
2000,6.9,1075
2000,5,1077
2000,5,1079
2000,4,1081
2000,3.8,1083
2000,6.9,1085
2000,5.8,1087
2000,3.5,1089
2000,5.2,1091
2000,6.7,1093
2000,4.8,1095
2000,4.9,1097
2000,6.4,1099
2000,4.2,1101
2000,4.2,1103
2000,9.2,1105
2000,7.5,1107
2000,5.5,1109
2000,4.8,1111
2000,4.6,1113
2000,3.7,1115
2000,2.7,1117
2000,9.1,1119
2000,5.2,1121
2000,4.9,1123
2000,3.9,1125
2000,5.8,1127
2000,6.8,1129
2000,8.7,1131
2000,7.8,1133
2000,6.4,2000
2000,8.7,2013
2000,5.2,2016
2000,5.1,2020
2000,9,2050
2000,6.4,2060
2000,7.3,2068
2000,7.4,2070
2000,6.2,2090
2000,8.1,2100
2000,,2105
2000,4.7,2110
2000,8.3,2122
2000,6.3,2130
2000,8.4,2150
2000,15.3,2158
2000,5.2,2164
2000,7.3,2170
2000,9.7,2180
2000,8.5,2185
2000,9.1,2188
2000,,2195
2000,,2198
2000,14.3,2201
2000,4.8,2220
2000,,2230
2000,9.9,2232
2000,12.4,2240
2000,7.7,2261
2000,,2275
2000,9.8,2280
2000,7,2282
2000,11.6,2290
2000,4,4000
2000,9,4001
2000,4.5,4003
2000,4.4,4005
2000,5.2,4007
2000,5.4,4009
2000,4.2,4011
