Location Type,Yelp # of Ratings,Price Rating,Neighborhood,LAT,LON,Name,Yelp Rating,Price Rating Sort
Hotel,187,££,Liverpool Street / Broadgate,51.52521,-0.082,The Hoxton - Shoreditch,4.5,2
Hotel,47,£££,Mayfair,51.5081,-0.15443,London Marriott Hotel Park Lane,4.5,3
Hotel,27,££££,Westminster,51.49831,-0.14383,Hotel 41,5,4
Hotel,11,££,Trafalgar Square,51.50895,-0.13148,The Z Hotel Piccadilly,4.5,2
Hotel,2, ,Westminster,51.50632,-0.12621,Great Scotland Yard Hotel,5,
Hotel,94,££££,Strand,51.50742,-0.12835,Savoy Hotel,4.5,4
Hotel,33,££,Paddington,51.5152,-0.17415,Hotel Indigo,4.5,2
Hotel,34,££,Notting Hill,51.51002,-0.19058,DoubleTree by Hilton Hotel London - Hyde Park,4,2
Hotel,108,£££,Mayfair,51.50421,-0.14918,JW Marriott Grosvenor House London,4,3
Hotel,45,£££,Fitzrovia,51.51709,-0.13612,The London EDITION,4.5,3
Pub,106,££,Soho,51.512421,-0.13902,Cahoots Bar,,
Pub,1, ,Westminster,51.49696,-0.13453,The Ivy,,
Pub,59,££,Soho,51.513969,-0.13671,The Blind Pig,,
Pub,4,££,Bloomsbury,51.51944,-0.12365,The Bloomsbury Club,,
Pub,134,£,Strand,51.5097,-0.12594,The Harp,,
Pub,77,£££,Soho,51.51369,-0.1366,Milk & Honey,,
Pub,104,££,Hoxton Square,51.52782,-0.08165,Happiness Forgets,,
Pub,16,£££,South Bank,51.50835,-0.10549,Rumpus Room Rooftop Bar,,
Pub,207,££,Paddington,51.5135,-0.17093,The Victoria,,
Pub,405,££,Strand,51.50789,-0.12355,Gordon’s Wine Bar,,
Pub,65,£££,Mayfair,51.50982,-0.14418,Mr Fogg’s,,
Pub,41,££,Marylebone,51.5199,-0.15201,The Marylebone,,
Pub,21, ,Covent Garden,51.51109,-0.08752,The Alchemist,,
Pub,37,££,Covent Garden,51.512,-0.12731,The Covent Garden Cocktail Club,,
Pub,96,££,Soho,51.51297,-0.13955,Ain’t Nothin’ But...,,
Pub,7,££££,Marylebone,51.51563,-0.15694,The Churchill Bar & Terrace,,
Pub,55,££,Paddington,51.51625,-0.16963,The Monkey Puzzle,,
Pub,28,££,Shoreditch,51.52354,-0.07146,London Cocktail Club,,
Pub,61,££,Fitzrovia,51.51734,-0.14133,The Social,,
Pub,182,£££,Hoxton,51.52649,-0.0877,Nightjar,,
Pub,83,££,Aldgate,51.51487,-0.07912,The Alchemist,,
Pub,27,££,Mayfair,51.51262,-0.1455,Mews Cocktail & Lounge Bar,,
Pub,40,£,Soho,51.51215,-0.13834,Soho Grind,,
Pub,78,££,Mayfair,51.50907,-0.14943,The Punchbowl,,
Pub,20,££,Notting Hill,51.51542,-0.19757,The Cock & Bottle,,
Pub,2,£££,Mayfair,51.50421,-0.14918,Red Bar,,
Pub,32,£££,Holborn,51.51777,-0.11837,Scarfes Bar,,
Pub,355,££,Blackfriars,51.51435,-0.10708,Ye Olde Cheshire Cheese,,
Pub,13,££,Fitzrovia,51.52328,-0.14195,The Remedy,,
Pub,51,££,Covent Garden,51.51023,-0.08795,Mr Fogg’s Tavern,,
Pub,6,£££,Fitzrovia,51.51709,-0.13612,The London EDITION Lobby Bar,,
Pub,53,££,Soho,51.51418,-0.13657,Barrio Central,,
