Hotel Name,Yelp Rating,Yelp # of Ratings,Price Rating Sort,Price Rating,Neighborhood,LAT,LON
The Hoxton - Shoreditch,4.5,187,2,££,Liverpool Street / Broadgate,51.52521,-0.082
London Marriott Hotel Park Lane,4.5,47,3,£££,Mayfair,51.5081,-0.15443
Hotel 41,5,27,4,££££,Westminster,51.49831,-0.14383
The Z Hotel Piccadilly,4.5,11,2,££,Trafalgar Square,51.50895,-0.13148
Great Scotland Yard Hotel,5,2,,,Westminster,51.50632,-0.12621
Savoy Hotel,4.5,94,4,££££,Strand,51.50742,-0.12835
Hotel Indigo,4.5,33,2,££,Paddington,51.5152,-0.17415
DoubleTree by Hilton Hotel London - Hyde Park,4,34,2,££,Notting Hill,51.51002,-0.19058
JW Marriott Grosvenor House London,4,108,3,£££,Mayfair,51.50421,-0.14918
The London EDITION,4.5,45,3,£££,Fitzrovia,51.51709,-0.13612
