Pub Name,Lat,Lon,Price Rating,Yelp # of Ratings,Neighborhood
Cahoots Bar,51.512421,-0.13902,££,106,Soho
The Ivy,51.49696,-0.13453,,1,Westminster
The Blind Pig,51.513969,-0.13671,££,59,Soho
The Bloomsbury Club,51.51944,-0.12365,££,4,Bloomsbury
The Harp,51.5097,-0.12594,£,134,Strand
Milk & Honey,51.51369,-0.1366,£££,77,Soho
Happiness Forgets,51.52782,-0.08165,££,104,Hoxton Square
Rumpus Room Rooftop Bar,51.50835,-0.10549,£££,16,South Bank
The Victoria,51.5135,-0.17093,££,207,Paddington
Gordon’s Wine Bar,51.50789,-0.12355,££,405,Strand
Mr Fogg’s,51.50982,-0.14418,£££,65,Mayfair
The Marylebone,51.5199,-0.15201,££,41,Marylebone
The Alchemist,51.51109,-0.08752,,21,Covent Garden
The Covent Garden Cocktail Club,51.512,-0.12731,££,37,Covent Garden
Ain’t Nothin’ But...,51.51297,-0.13955,££,96,Soho
The Churchill Bar & Terrace,51.51563,-0.15694,££££,7,Marylebone
The Monkey Puzzle,51.51625,-0.16963,££,55,Paddington
London Cocktail Club,51.52354,-0.07146,££,28,Shoreditch
The Social,51.51734,-0.14133,££,61,Fitzrovia
Nightjar,51.52649,-0.0877,£££,182,Hoxton
The Alchemist,51.51487,-0.07912,££,83,Aldgate
Mews Cocktail & Lounge Bar,51.51262,-0.1455,££,27,Mayfair
Soho Grind,51.51215,-0.13834,£,40,Soho
The Punchbowl,51.50907,-0.14943,££,78,Mayfair
The Cock & Bottle,51.51542,-0.19757,££,20,Notting Hill
Red Bar,51.50421,-0.14918,£££,2,Mayfair
Scarfes Bar,51.51777,-0.11837,£££,32,Holborn
Ye Olde Cheshire Cheese,51.51435,-0.10708,££,355,Blackfriars
The Remedy,51.52328,-0.14195,££,13,Fitzrovia
Mr Fogg’s Tavern,51.51023,-0.08795,££,51,Covent Garden
The London EDITION Lobby Bar,51.51709,-0.13612,£££,6,Fitzrovia
Barrio Central,51.51418,-0.13657,££,53,Soho
