SEX,AGE,2019 Population
Total,0,3783052
Total,1,3829599
Total,2,3922044
Total,3,3998665
Total,4,4043323
Total,5,4028281
Total,6,4017227
Total,7,4022319
Total,8,4066194
Total,9,4061874
Total,10,4060940
Total,11,4189261
Total,12,4208387
Total,13,4175221
Total,14,4164459
Total,15,4175459
Total,16,4150420
Total,17,4142425
Total,18,4255827
Total,19,4330439
Total,20,4269683
Total,21,4278323
Total,22,4298772
Total,23,4341644
Total,24,4444518
Total,25,4539058
Total,26,4611220
Total,27,4733869
Total,28,4818725
Total,29,4806144
Total,30,4614384
Total,31,4502311
Total,32,4421505
Total,33,4432973
Total,34,4460132
Total,35,4315866
Total,36,4372444
Total,37,4361286
Total,38,4305576
Total,39,4382349
Total,40,4105313
Total,41,4020254
Total,42,3974741
Total,43,3854040
Total,44,3967275
Total,45,3837909
Total,46,3889372
Total,47,4058038
Total,48,4282657
Total,49,4329775
Total,50,4096572
Total,51,4004343
Total,52,4001782
Total,53,4068851
Total,54,4305603
Total,55,4374565
Total,56,4361016
Total,57,4342385
Total,58,4385570
Total,59,4413855
Total,60,4252663
Total,61,4215172
Total,62,4156645
Total,63,3996088
Total,64,3950578
Total,65,3774597
Total,66,3618069
Total,67,3464437
Total,68,3345475
Total,69,3252423
Total,70,3136704
Total,71,3083083
Total,72,3191048
Total,73,2334433
Total,74,2283164
Total,75,2198286
Total,76,2222392
Total,77,1911261
Total,78,1720817
Total,79,1599909
Total,80,1475278
Total,81,1381641
Total,82,1241341
Total,83,1151190
Total,84,1067757
Total,85,922467
Total,86,856646
Total,87,778923
Total,88,703078
Total,89,635982
Total,90,536447
Total,91,467172
Total,92,394067
Total,93,320785
Total,94,264277
Total,95,207086
Total,96,157463
Total,97,116969
Total,98,86150
Total,99,57124
Total,100,100322
Male,0,1935117
Male,1,1958585
Male,2,2005544
Male,3,2043010
Male,4,2066951
Male,5,2061200
Male,6,2052956
Male,7,2055735
Male,8,2079723
Male,9,2073148
Male,10,2071778
Male,11,2138037
Male,12,2149819
Male,13,2132987
Male,14,2125640
Male,15,2129720
Male,16,2116165
Male,17,2112553
Male,18,2172385
Male,19,2214784
Male,20,2183139
Male,21,2187086
Male,22,2195296
Male,23,2221758
Male,24,2277473
Male,25,2325853
Male,26,2365886
Male,27,2421270
Male,28,2451756
Male,29,2439805
Male,30,2340865
Male,31,2281327
Male,32,2239886
Male,33,2243280
Male,34,2249252
Male,35,2167622
Male,36,2191368
Male,37,2181162
Male,38,2149359
Male,39,2195430
Male,40,2046663
Male,41,2001502
Male,42,1972584
Male,43,1913289
Male,44,1973101
Male,45,1900492
Male,46,1919298
Male,47,2005221
Male,48,2114614
Male,49,2145730
Male,50,2025376
Male,51,1976883
Male,52,1968619
Male,53,2001325
Male,54,2114408
Male,55,2137586
Male,56,2125123
Male,57,2111795
Male,58,2125774
Male,59,2142211
Male,60,2052677
Male,61,2027951
Male,62,1991220
Male,63,1905842
Male,64,1879040
Male,65,1783428
Male,66,1703888
Male,67,1627863
Male,68,1564129
Male,69,1520465
Male,70,1462120
Male,71,1435378
Male,72,1483236
Male,73,1074771
Male,74,1044301
Male,75,998390
Male,76,1003690
Male,77,854930
Male,78,760170
Male,79,701319
Male,80,643638
Male,81,593628
Male,82,525766
Male,83,480165
Male,84,436527
Male,85,371082
Male,86,337306
Male,87,299845
Male,88,264191
Male,89,232649
Male,90,191220
Male,91,160941
Male,92,131684
Male,93,103415
Male,94,81893
Male,95,61994
Male,96,46046
Male,97,32611
Male,98,23543
Male,99,14596
Male,100,23472
Female,0,1847935
Female,1,1871014
Female,2,1916500
Female,3,1955655
Female,4,1976372
Female,5,1967081
Female,6,1964271
Female,7,1966584
Female,8,1986471
Female,9,1988726
Female,10,1989162
Female,11,2051224
Female,12,2058568
Female,13,2042234
Female,14,2038819
Female,15,2045739
Female,16,2034255
Female,17,2029872
Female,18,2083442
Female,19,2115655
Female,20,2086544
Female,21,2091237
Female,22,2103476
Female,23,2119886
Female,24,2167045
Female,25,2213205
Female,26,2245334
Female,27,2312599
Female,28,2366969
Female,29,2366339
Female,30,2273519
Female,31,2220984
Female,32,2181619
Female,33,2189693
Female,34,2210880
Female,35,2148244
Female,36,2181076
Female,37,2180124
Female,38,2156217
Female,39,2186919
Female,40,2058650
Female,41,2018752
Female,42,2002157
Female,43,1940751
Female,44,1994174
Female,45,1937417
Female,46,1970074
Female,47,2052817
Female,48,2168043
Female,49,2184045
Female,50,2071196
Female,51,2027460
Female,52,2033163
Female,53,2067526
Female,54,2191195
Female,55,2236979
Female,56,2235893
Female,57,2230590
Female,58,2259796
Female,59,2271644
Female,60,2199986
Female,61,2187221
Female,62,2165425
Female,63,2090246
Female,64,2071538
Female,65,1991169
Female,66,1914181
Female,67,1836574
Female,68,1781346
Female,69,1731958
Female,70,1674584
Female,71,1647705
Female,72,1707812
Female,73,1259662
Female,74,1238863
Female,75,1199896
Female,76,1218702
Female,77,1056331
Female,78,960647
Female,79,898590
Female,80,831640
Female,81,788013
Female,82,715575
Female,83,671025
Female,84,631230
Female,85,551385
Female,86,519340
Female,87,479078
Female,88,438887
Female,89,403333
Female,90,345227
Female,91,306231
Female,92,262383
Female,93,217370
Female,94,182384
Female,95,145092
Female,96,111417
Female,97,84358
Female,98,62607
Female,99,42528
Female,100,76850
