Avg Room Rate,reservation_id,check_in_date,stay_duration,adults,children,room_type,special_requests_flag,booking_channel,reservation_status,advanced_booking,Property,Date,Rate Type
71.1,779087-Y5-9824-SA,4/15/2020,13,3,4,Single,Yes,Call Center,Completed,Yes,The Chord,4/15/2020,Weekday
71.1,984023-QO-5015-YG,6/12/2020,3,3,3,Single,No,Travel Agent,Completed,Yes,The Chord,6/12/2020,Weekday
172.38,518066-UQ-2315-FK,2/25/2020,11,4,2,Queen,No,Call Center,Completed,Yes,The Sankey,2/25/2020,Weekday
172.38,130339-H9-2116-KE,9/15/2020,11,4,1,Queen,No,Website,No-Show,Yes,The Sankey,9/15/2020,Weekday
199,961051-40-0956-EO,1/5/2020,14,2,4,Double,Yes,Walk-in,Completed,No,The Sankey,1/5/2020,Weekend
177.45,885684-T0-2055-IO,7/7/2020,10,3,3,King,No,Website,Completed,Yes,The Sankey,7/7/2020,Weekday
98.1,050756-9V-7369-IN,5/26/2020,8,2,1,Single,No,Phone App,Completed,Yes,The Marimekko,5/26/2020,Weekday
202.98,326376-RY-3568-LI,6/29/2020,5,2,2,Queen,Yes,Call Center,Completed,Yes,The Sankey,6/29/2020,Weekend
114.45,551941-TB-2714-OC,4/11/2020,14,1,3,King,No,Walk-in,Completed,No,The Marimekko,4/11/2020,Weekday
158.05,904493-57-8273-HE,5/1/2020,6,4,4,Executive Suite,Yes,Travel Agent,Completed,Yes,The Marimekko,5/1/2020,Weekday
152.1,920861-MI-9096-QM,3/12/2020,4,1,3,Single,Yes,Phone App,Completed,Yes,The Sankey,3/12/2020,Weekday
169,048880-Y3-6337-JW,8/20/2020,14,1,4,Double,No,Website,Completed,Yes,The Sankey,8/20/2020,Weekday
169,626894-5F-4141-SF,8/19/2020,4,3,3,Double,No,Website,No-Show,Yes,The Sankey,8/19/2020,Weekday
185.9,994879-JK-9523-MQ,2/4/2020,1,1,4,Suite,Yes,Travel Agent,Completed,Yes,The Sankey,2/4/2020,Weekday
152.1,840483-EV-5465-FX,3/19/2020,5,2,3,Single,Yes,Travel Agent,Completed,Yes,The Sankey,3/19/2020,Weekday
99,247643-NI-8416-OR,3/30/2020,2,3,1,Double,No,Website,No-Show,Yes,The Marimekko,3/30/2020,Weekend
98.1,998739-IM-8933-CT,5/28/2020,9,2,3,Single,Yes,Call Center,No-Show,No,The Marimekko,5/28/2020,Weekday
169,482567-N1-4752-IR,4/15/2020,3,2,3,Double,Yes,Website,Completed,Yes,The Sankey,4/15/2020,Weekday
169,489685-74-8841-YI,2/25/2020,7,1,2,Double,Yes,Website,Completed,Yes,The Sankey,2/25/2020,Weekday
100.98,183831-MD-9576-KQ,3/1/2020,12,1,4,Queen,Yes,Phone App,Completed,Yes,The Chord,3/1/2020,Weekend
172.38,447713-D9-9400-TB,4/28/2020,9,2,2,Queen,No,Call Center,Completed,Yes,The Sankey,4/28/2020,Weekday
111.18,282513-JC-0845-MB,4/8/2020,4,1,1,Queen,Yes,Phone App,Completed,No,The Marimekko,4/8/2020,Weekday
79,864061-J2-1508-CB,7/3/2020,5,3,2,Double,No,Phone App,Completed,Yes,The Chord,7/3/2020,Weekday
114.45,957857-P7-0117-UX,1/29/2020,5,1,1,King,No,Travel Agent,Completed,Yes,The Marimekko,1/29/2020,Weekday
169,077118-F5-5932-VX,4/9/2020,11,4,3,Double,No,Phone App,Completed,Yes,The Sankey,4/9/2020,Weekday
245.05,724999-HR-2507-AK,10/15/2020,12,3,4,Executive Suite,No,Call Center,Completed,Yes,The Sankey,10/15/2020,Weekday
71.1,813011-59-5438-AQ,5/7/2020,12,2,2,Single,No,Phone App,Completed,Yes,The Chord,5/7/2020,Weekday
100.98,037446-8T-1700-FA,10/11/2020,12,4,2,Queen,No,Phone App,Completed,Yes,The Chord,10/11/2020,Weekend
99,214679-0C-8492-ZN,8/17/2020,11,2,3,Double,No,Walk-in,Completed,No,The Marimekko,8/17/2020,Weekend
98.1,066642-AB-5723-RF,4/22/2020,7,3,1,Single,Yes,Phone App,Completed,No,The Marimekko,4/22/2020,Weekday
185.9,964082-W4-5083-IC,2/6/2020,4,1,4,Suite,Yes,Website,Completed,Yes,The Sankey,2/6/2020,Weekday
169,305379-W8-4610-HX,5/23/2020,4,1,1,Double,Yes,Website,Completed,Yes,The Sankey,5/23/2020,Weekday
98.1,771424-QM-3071-FF,8/28/2020,8,2,3,Single,Yes,Travel Agent,Completed,Yes,The Marimekko,8/28/2020,Weekday
152.1,094038-UH-3736-HO,7/10/2020,1,1,2,Single,Yes,Website,No-Show,Yes,The Sankey,7/10/2020,Weekday
185.9,166207-E0-2143-GT,2/7/2020,9,3,3,Suite,No,Travel Agent,Completed,Yes,The Sankey,2/7/2020,Weekday
71.1,770171-UH-0392-LS,3/25/2020,2,4,3,Single,Yes,Travel Agent,Completed,Yes,The Chord,3/25/2020,Weekday
169,673749-L5-2894-II,2/8/2020,5,2,2,Double,Yes,Walk-in,No-Show,No,The Sankey,2/8/2020,Weekday
152.1,966942-5H-1507-GZ,5/8/2020,8,2,4,Single,No,Phone App,Completed,Yes,The Sankey,5/8/2020,Weekday
218.9,878648-5X-2100-QP,8/2/2020,13,2,3,Suite,Yes,Phone App,Completed,Yes,The Sankey,8/2/2020,Weekend
99,436105-AB-3671-RK,6/29/2020,12,1,1,Double,No,Phone App,Completed,Yes,The Marimekko,6/29/2020,Weekend
158.05,000617-AB-5578-VT,2/26/2020,11,3,1,Executive Suite,No,Travel Agent,Completed,Yes,The Marimekko,2/26/2020,Weekday
185.9,537997-1Q-0986-AX,3/5/2020,12,2,4,Suite,No,Phone App,Completed,Yes,The Sankey,3/5/2020,Weekday
98.1,503934-1U-0880-SG,3/19/2020,6,4,3,Single,Yes,Phone App,Completed,Yes,The Marimekko,3/19/2020,Weekday
79,135414-7R-4648-RM,5/7/2020,6,3,1,Double,No,Website,Completed,Yes,The Chord,5/7/2020,Weekday
169,646314-OC-2361-DS,9/2/2020,9,2,4,Double,Yes,Call Center,Completed,Yes,The Sankey,9/2/2020,Weekday
158.05,374954-C1-5748-KG,10/14/2020,4,4,4,Executive Suite,Yes,Travel Agent,Completed,Yes,The Marimekko,10/14/2020,Weekday
119.9,857517-Q7-3776-BA,7/29/2020,14,2,2,Suite,Yes,Call Center,Completed,Yes,The Marimekko,7/29/2020,Weekday
100.98,613757-WJ-7502-VT,5/3/2020,4,2,1,Queen,Yes,Website,Completed,Yes,The Chord,5/3/2020,Weekend
245.05,866237-5O-6556-KM,4/17/2020,2,2,4,Executive Suite,No,Travel Agent,No-Show,Yes,The Sankey,4/17/2020,Weekday
114.45,123305-Z0-2620-NO,4/2/2020,8,2,3,King,Yes,Website,Completed,Yes,The Marimekko,4/2/2020,Weekday
199,270463-UM-6166-LQ,1/19/2020,3,3,4,Double,Yes,Phone App,Completed,Yes,The Sankey,1/19/2020,Weekend
152.1,990234-RP-1228-QD,2/20/2020,13,3,2,Single,No,Website,Completed,Yes,The Sankey,2/20/2020,Weekday
177.45,126841-FZ-5119-QP,4/28/2020,1,3,2,King,No,Travel Agent,Completed,Yes,The Sankey,4/28/2020,Weekday
185.9,996432-WJ-7139-FD,7/8/2020,4,4,2,Suite,No,Call Center,Completed,Yes,The Sankey,7/8/2020,Weekday
79,437581-41-3973-NA,8/5/2020,11,1,3,Double,No,Travel Agent,Completed,Yes,The Chord,8/5/2020,Weekday
288.55,081377-VC-9938-WX,8/24/2020,8,4,3,Executive Suite,No,Phone App,Completed,Yes,The Sankey,8/24/2020,Weekend
79,074254-UA-1727-PJ,3/7/2020,13,2,3,Double,Yes,Phone App,Completed,Yes,The Chord,3/7/2020,Weekday
179.1,017614-KL-9508-BK,4/13/2020,9,3,2,Single,No,Phone App,Completed,Yes,The Sankey,4/13/2020,Weekend
179.1,674948-SZ-3410-ZZ,7/6/2020,10,4,2,Single,Yes,Website,No-Show,Yes,The Sankey,7/6/2020,Weekend
172.38,171335-L4-5249-FK,3/20/2020,1,4,4,Queen,Yes,Walk-in,Completed,No,The Sankey,3/20/2020,Weekday
199,454472-1R-9703-FK,1/20/2020,12,2,2,Double,Yes,Call Center,Completed,Yes,The Sankey,1/20/2020,Weekend
185.9,138076-I2-4855-IK,7/4/2020,3,2,2,Suite,No,Website,Completed,Yes,The Sankey,7/4/2020,Weekday
152.1,602712-GS-1388-FU,5/15/2020,3,4,2,Single,No,Website,Completed,Yes,The Sankey,5/15/2020,Weekday
179.1,802045-XB-2401-CH,4/27/2020,13,2,1,Single,No,Phone App,Completed,Yes,The Sankey,4/27/2020,Weekend
100.98,668979-O1-1641-HW,2/23/2020,4,1,4,Queen,Yes,Travel Agent,Completed,Yes,The Chord,2/23/2020,Weekend
111.18,393001-DB-1814-VH,10/27/2020,8,4,2,Queen,Yes,Travel Agent,Completed,Yes,The Marimekko,10/27/2020,Weekday
103.95,916257-8V-6348-KJ,6/22/2020,10,1,4,King,Yes,Call Center,Completed,Yes,The Marimekko,6/22/2020,Weekend
179.1,561597-YL-9329-EI,2/24/2020,11,1,1,Single,No,Travel Agent,Completed,Yes,The Sankey,2/24/2020,Weekend
172.38,645031-J6-2456-CO,3/24/2020,9,2,3,Queen,Yes,Website,Completed,Yes,The Sankey,3/24/2020,Weekday
177.45,140353-50-5756-DI,1/3/2020,4,1,2,King,Yes,Website,Completed,Yes,The Sankey,1/3/2020,Weekday
202.98,604345-L7-9980-IV,10/19/2020,4,3,2,Queen,No,Call Center,Completed,Yes,The Sankey,10/19/2020,Weekend
109,810962-34-1749-CZ,5/12/2020,12,3,4,Double,No,Website,Completed,Yes,The Marimekko,5/12/2020,Weekday
169,997697-OW-9128-BF,8/21/2020,4,4,3,Double,Yes,Call Center,Completed,No,The Sankey,8/21/2020,Weekday
114.45,579795-CK-5523-BE,7/31/2020,2,3,4,King,Yes,Call Center,Completed,Yes,The Marimekko,7/31/2020,Weekday
99,749672-4Q-3629-GE,10/5/2020,14,1,4,Double,No,Walk-in,Completed,No,The Marimekko,10/5/2020,Weekend
100.98,148520-IS-4528-FO,7/19/2020,8,4,3,Queen,Yes,Phone App,Completed,Yes,The Chord,7/19/2020,Weekend
111.18,230662-L8-6118-EB,2/4/2020,8,4,1,Queen,No,Phone App,No-Show,Yes,The Marimekko,2/4/2020,Weekday
177.45,900837-GK-5654-VH,3/26/2020,8,3,2,King,Yes,Website,Completed,Yes,The Sankey,3/26/2020,Weekday
169,779970-NU-4143-HP,6/25/2020,13,4,3,Double,No,Travel Agent,No-Show,Yes,The Sankey,6/25/2020,Weekday
152.1,186884-EX-7835-GA,8/29/2020,3,2,3,Single,No,Call Center,Completed,Yes,The Sankey,8/29/2020,Weekday
179.1,101012-AE-4255-HL,2/3/2020,13,2,2,Single,No,Website,Completed,Yes,The Sankey,2/3/2020,Weekend
185.9,236312-RH-1312-TZ,7/11/2020,5,4,4,Suite,No,Travel Agent,Completed,Yes,The Sankey,7/11/2020,Weekday
152.1,919991-0V-0076-NU,8/21/2020,5,4,1,Single,No,Phone App,Completed,Yes,The Sankey,8/21/2020,Weekday
82.95,246580-3V-4111-WA,5/27/2020,8,2,3,King,No,Call Center,Completed,Yes,The Chord,5/27/2020,Weekday
172.38,265651-VB-4094-ZZ,9/19/2020,8,3,3,Queen,No,Website,Completed,No,The Sankey,9/19/2020,Weekday
114.45,584641-MK-0362-JU,5/21/2020,14,2,4,King,No,Travel Agent,Completed,Yes,The Marimekko,5/21/2020,Weekday
