SongID,TimeStamp_Central,Performer,Album,Song,TimeStamp_UTC
Twenty Five MilesEdwin Starr,5/25/2021 5:18:00 PM,Edwin Starr,25 Miles,Twenty Five Miles,5/25/2021 11:18:00 PM
Devil's EyesGreyhounds,5/25/2021 5:15:00 PM,Greyhounds,Change of Pace,Devil's Eyes,5/25/2021 11:15:00 PM
Pussy and PizzaMurs,5/25/2021 5:12:00 PM,Murs,Have a Nice Life,Pussy and Pizza,5/25/2021 11:12:00 PM
Opera (feat. Method Man)King Green,5/25/2021 5:08:00 PM,King Green,Opera (feat. Method Man),Opera (feat. Method Man),5/25/2021 11:08:00 PM
Sweet PotatoMouthe,5/25/2021 5:05:00 PM,Mouthe,NUVO,Sweet Potato,5/25/2021 11:05:00 PM
Meanwhile Back in the CityThe Presidents of the United States of America,5/25/2021 5:01:00 PM,The Presidents of the United States of America,Freaked Out And Small,Meanwhile Back in the City,5/25/2021 11:01:00 PM
SpinachHoney Hounds,5/25/2021 4:56:00 PM,Honey Hounds,No Sleep,Spinach,5/25/2021 10:56:00 PM
All I KnowMoontricks,5/25/2021 4:50:00 PM,Moontricks,All I Know,All I Know,5/25/2021 10:50:00 PM
Our Special PlaceThe Heavy,5/25/2021 4:46:00 PM,The Heavy,Great Vengeance and Furious Fire,Our Special Place,5/25/2021 10:46:00 PM
Moreland Ave BluesDaily Bread,5/25/2021 4:43:00 PM,Daily Bread,Big Beat Ignition: Denver,Moreland Ave Blues,5/25/2021 10:43:00 PM
Make Peace and be FreePerfect Confusion,5/25/2021 4:39:00 PM,Perfect Confusion,Perfect Confusion,Make Peace and be Free,5/25/2021 10:39:00 PM
Put It In The BoogieZach Deputy,5/25/2021 4:35:00 PM,Zach Deputy,Wash It in the Water,Put It In The Boogie,5/25/2021 10:35:00 PM
Saving GraceTom Petty,5/25/2021 3:59:00 PM,Tom Petty,Highway Companion,Saving Grace,5/25/2021 9:59:00 PM
Wing$Macklemore,5/25/2021 2:09:00 PM,Macklemore,The Heist (Deluxe Edition),Wing$,5/25/2021 8:09:00 PM
Jimmy Iovine (feat. Ab-Soul)Macklemore,5/25/2021 2:05:00 PM,Macklemore,The Heist (Deluxe Edition),Jimmy Iovine (feat. Ab-Soul),5/25/2021 8:05:00 PM
White Walls (feat. ScHoolBoy Q & Hollis)Macklemore,5/25/2021 2:01:00 PM,Macklemore,The Heist (Deluxe Edition),White Walls (feat. ScHoolBoy Q & Hollis),5/25/2021 8:01:00 PM
Bombom (feat. The Teaching)Macklemore,5/25/2021 1:56:00 PM,Macklemore,The Heist (Deluxe Edition),Bombom (feat. The Teaching),5/25/2021 7:56:00 PM
Neon Cathedral (feat. Allen Stone)Macklemore,5/25/2021 1:52:00 PM,Macklemore,The Heist (Deluxe Edition),Neon Cathedral (feat. Allen Stone),5/25/2021 7:52:00 PM
Make the MoneyMacklemore,5/25/2021 1:48:00 PM,Macklemore,The Heist (Deluxe Edition),Make the Money,5/25/2021 7:48:00 PM
Same Love (feat. Mary Lambert)Macklemore,5/25/2021 1:43:00 PM,Macklemore,The Heist (Deluxe Edition),Same Love (feat. Mary Lambert),5/25/2021 7:43:00 PM
Thin Line (feat. Buffalo Madonna)Macklemore,5/25/2021 1:38:00 PM,Macklemore,The Heist (Deluxe Edition),Thin Line (feat. Buffalo Madonna),5/25/2021 7:38:00 PM
Thrift Shop (feat. Wanz)Macklemore,5/25/2021 1:34:00 PM,Macklemore,The Heist (Deluxe Edition),Thrift Shop (feat. Wanz),5/25/2021 7:34:00 PM
Can't Hold Us (feat. Ray Dalton)Macklemore,5/25/2021 1:30:00 PM,Macklemore,The Heist (Deluxe Edition),Can't Hold Us (feat. Ray Dalton),5/25/2021 7:30:00 PM
Ten Thousand HoursMacklemore,5/25/2021 1:26:00 PM,Macklemore,The Heist (Deluxe Edition),Ten Thousand Hours,5/25/2021 7:26:00 PM
It's Goin' Down (feat. Mike Shinoda & Mr. Hahn)X-Ecutioners,5/25/2021 1:15:00 PM,X-Ecutioners,Built From Scratch,It's Goin' Down (feat. Mike Shinoda & Mr. Hahn),5/25/2021 7:15:00 PM
Saving GraceTom Petty,5/25/2021 12:49:00 PM,Tom Petty,Highway Companion,Saving Grace,5/25/2021 6:49:00 PM
ParalyzerFinger Eleven,5/25/2021 12:46:00 PM,Finger Eleven,Them vs. You vs. Me (Deluxe Edition),Paralyzer,5/25/2021 6:46:00 PM
StopPink Floyd,5/25/2021 12:45:00 PM,Pink Floyd,The Wall,Stop,5/25/2021 6:45:00 PM
Under Pressure - Remastered 2011Queen,5/25/2021 12:41:00 PM,Queen,Hot Space (2011 Remaster),Under Pressure - Remastered 2011,5/25/2021 6:41:00 PM
LydiaHighly Suspect,5/25/2021 12:37:00 PM,Highly Suspect,Mister Asylum,Lydia,5/25/2021 6:37:00 PM
The Chain - 2004 RemasterFleetwood Mac,5/25/2021 12:33:00 PM,Fleetwood Mac,Rumours (Super Deluxe),The Chain - 2004 Remaster,5/25/2021 6:33:00 PM
UprisingMuse,5/25/2021 12:27:00 PM,Muse,The Resistance,Uprising,5/25/2021 6:27:00 PM
EclipsePink Floyd,5/25/2021 12:25:00 PM,Pink Floyd,The Dark Side of the Moon,Eclipse,5/25/2021 6:25:00 PM
No Sugar Tonight / New Mother NatureThe Guess Who,5/25/2021 12:20:00 PM,The Guess Who,American Woman,No Sugar Tonight / New Mother Nature,5/25/2021 6:20:00 PM
It's Goin' Down (feat. Mike Shinoda & Mr. Hahn)X-Ecutioners,5/25/2021 12:16:00 PM,X-Ecutioners,Built From Scratch,It's Goin' Down (feat. Mike Shinoda & Mr. Hahn),5/25/2021 6:16:00 PM
Come Sail AwayStyx,5/25/2021 12:10:00 PM,Styx,The Grand Illusion,Come Sail Away,5/25/2021 6:10:00 PM
StrangleholdTed Nugent,5/25/2021 12:02:00 PM,Ted Nugent,Ted Nugent,Stranglehold,5/25/2021 6:02:00 PM
Don't Stop Believin'Journey,5/25/2021 11:57:00 AM,Journey,Escape,Don't Stop Believin',5/25/2021 5:57:00 PM
We Will Rock You - RemasteredQueen,5/25/2021 11:54:00 AM,Queen,News Of The World (Deluxe Remastered Version),We Will Rock You - Remastered,5/25/2021 5:54:00 PM
Down UnderMen at Work,5/25/2021 11:54:00 AM,Men at Work,Business As Usual,Down Under,5/25/2021 5:54:00 PM
Should I Stay or Should I Go - remasteredThe Clash,5/25/2021 11:49:00 AM,The Clash,Combat Rock (Remastered),Should I Stay or Should I Go - remastered,5/25/2021 5:49:00 PM
Salute Your SolutionThe Raconteurs,5/25/2021 11:44:00 AM,The Raconteurs,Consolers of the Lonely,Salute Your Solution,5/25/2021 5:44:00 PM
ParalyzerFinger Eleven,5/25/2021 11:40:00 AM,Finger Eleven,Them vs. You vs. Me (Deluxe Edition),Paralyzer,5/25/2021 5:40:00 PM
Owner of a Lonely HeartYes,5/25/2021 11:36:00 AM,Yes,90125 (Deluxe Version),Owner of a Lonely Heart,5/25/2021 5:36:00 PM
StopPink Floyd,5/25/2021 11:35:00 AM,Pink Floyd,The Wall,Stop,5/25/2021 5:35:00 PM
Johnny B. GoodeChuck Berry,5/25/2021 11:33:00 AM,Chuck Berry,Berry Is On Top,Johnny B. Goode,5/25/2021 5:33:00 PM
Saving GraceTom Petty,5/25/2021 11:29:00 AM,Tom Petty,Highway Companion,Saving Grace,5/25/2021 5:29:00 PM
The Moon Is DisgustingThat 1 Guy,5/25/2021 11:23:00 AM,That 1 Guy,The Moon Is Disgusting,The Moon Is Disgusting,5/25/2021 5:23:00 PM
Feeling GoodMuse,5/25/2021 11:20:00 AM,Muse,Origin of Symmetry,Feeling Good,5/25/2021 5:20:00 PM
It's Goin' Down (feat. Mike Shinoda & Mr. Hahn)X-Ecutioners,5/25/2021 11:16:00 AM,X-Ecutioners,Built From Scratch,It's Goin' Down (feat. Mike Shinoda & Mr. Hahn),5/25/2021 5:16:00 PM
Since I Lost YouGenesis,5/25/2021 11:11:00 AM,Genesis,We Can't Dance,Since I Lost You,5/25/2021 5:11:00 PM
Under Pressure - Remastered 2011Queen,5/25/2021 11:07:00 AM,Queen,Hot Space (2011 Remaster),Under Pressure - Remastered 2011,5/25/2021 5:07:00 PM
No Sugar Tonight / New Mother NatureThe Guess Who,5/25/2021 11:02:00 AM,The Guess Who,American Woman,No Sugar Tonight / New Mother Nature,5/25/2021 5:02:00 PM
Just a Job to Do - 2007 RemasterGenesis,5/25/2021 11:02:00 AM,Genesis,Genesis,Just a Job to Do - 2007 Remaster,5/25/2021 5:02:00 PM
Don't Stop Believin'Journey,5/25/2021 10:21:00 AM,Journey,Escape,Don't Stop Believin',5/25/2021 4:21:00 PM
Knights of CydoniaMuse,5/25/2021 10:15:00 AM,Muse,Black Holes and Revelations,Knights of Cydonia,5/25/2021 4:15:00 PM
Take a BowMuse,5/25/2021 10:10:00 AM,Muse,Black Holes and Revelations,Take a Bow,5/25/2021 4:10:00 PM
Can't You Hear Me Knocking - 2009 MixThe Rolling Stones,5/25/2021 10:03:00 AM,The Rolling Stones,Sticky Fingers (Remastered),Can't You Hear Me Knocking - 2009 Mix,5/25/2021 4:03:00 PM
