SongID,Performer,Song,spotify_genre,spotify_track_id,spotify_track_preview_url,spotify_track_duration_ms,spotify_track_popularity,spotify_track_explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Hide in Your ShellSupertramp,Supertramp,Hide in Your Shell,"['album rock', 'art rock', 'classic rock', 'glam rock', 'mellow gold', 'piano rock', 'progressive rock', 'rock', 'soft rock']",0ldE7rHWykc9OUViCzdviV,,409889,51,False,0.476,0.355,7,-12.843,0,0.0429,0.471,7.42e-05,0.297,0.319,111.667,4
Vento k h o,o k h o,Vent,"['chillhop', 'lo-fi beats', 'phonk']",3wJTCCMHtuOdDg4fJzkd0i,https://p.scdn.co/mp3-preview/17715e8450561f32e0b0e7ac0dde445a13fba769?cid=b8d3901151d34489a160e3cf0ab1fa94,164935,54,False,0.459,0.518,10,-9.398,0,0.0783,0.513,0.219,0.171,0.224,77.703,4
Cesaro SummabilityTool,Tool,Cesaro Summability,"['alternative metal', 'alternative rock', 'art rock', 'nu metal', 'post-grunge', 'post-metal', 'progressive metal', 'progressive rock', 'rock']",6xttnk5U2VMVCaihaD0RPE,https://p.scdn.co/mp3-preview/e12b11bf6cdcdff4ce4c3e35a081fcaac28f1cda?cid=b8d3901151d34489a160e3cf0ab1fa94,86226,46,False,0.342,0.343,11,-21.736,0,0.191,0.000799,0.779,0.0832,0.196,115.35,4
Dyslexic HeartPaul Westerberg,Paul Westerberg,Dyslexic Heart,"['alternative country', 'alternative pop', 'alternative rock', 'gbvfi', 'jangle pop', 'power pop', 'roots rock']",6h0lrpGtRIwbBiPHthDB3o,https://p.scdn.co/mp3-preview/ab43e42aa0b895003f7308a5ca3cdabd02939378?cid=b8d3901151d34489a160e3cf0ab1fa94,271200,49,False,0.637,0.902,0,-5.064,1,0.0292,0.0391,3.57e-06,0.128,0.843,136.575,4
Loan Me A DimeBoz Scaggs,Boz Scaggs,Loan Me A Dime,"['adult standards', 'album rock', 'art rock', 'classic rock', 'classic uk pop', 'country rock', 'folk', 'folk rock', 'heartland rock', 'mellow gold', 'rock', 'roots rock', 'singer-songwriter', 'soft rock', 'yacht rock']",05LTrpC9z6YpTPmaeGC9kQ,https://p.scdn.co/mp3-preview/595502b0217df464cd41354c30fdae7faf6f085b?cid=b8d3901151d34489a160e3cf0ab1fa94,751920,44,False,0.392,0.471,9,-10.518,0,0.0377,0.309,0.0577,0.287,0.382,139.957,4
To the WorldWitrash,Witrash,To the World,,,,,,,,,,,,,,,,,,
The Wreck of the Edmund FitzgeraldGordon Lightfoot,Gordon Lightfoot,The Wreck of the Edmund Fitzgerald,"['album rock', 'canadian country', 'canadian folk', 'canadian singer-songwriter', 'classic rock', 'country rock', 'folk', 'folk rock', 'mellow gold', 'rock', 'roots rock', 'singer-songwriter', 'soft rock', 'traditional folk']",536L9C0N7vhYdibCJx3cI2,https://p.scdn.co/mp3-preview/0ba5642161214b5a4e936b649bc7fd695ad9727f?cid=b8d3901151d34489a160e3cf0ab1fa94,389280,59,False,0.308,0.376,4,-15.24,1,0.0626,0.116,2.52e-06,0.166,0.158,186.047,3
IonsShredders,Shredders,Ions,"['abstract hip hop', 'minnesota hip hop']",1DPvwjfw97lQBPlqJ155gn,https://p.scdn.co/mp3-preview/15fbc6ada941162141b70b0d69a64e874774abbc?cid=b8d3901151d34489a160e3cf0ab1fa94,195937,29,True,0.745,0.806,4,-6.671,0,0.178,0.0136,0,0.0751,0.439,80.024,4
The Middle - Acoustic VersionJimmy Eat World,Jimmy Eat World,The Middle - Acoustic Version,"['modern rock', 'neo mellow', 'pop punk', 'pop rock', 'post-grunge', 'rock']",,,,,,,,,,,,,,,,,
Easy RiderEddie Berman,Eddie Berman,Easy Rider,"['chamber pop', 'deep new americana', 'indie folk', 'new americana', 'stomp and holler']",3MCaKeccHJ13bLYCEQtQFq,https://p.scdn.co/mp3-preview/571f8cd7145f607e0e1cc020d5685c2f4a060fd6?cid=b8d3901151d34489a160e3cf0ab1fa94,229800,51,False,0.569,0.472,4,-10.222,1,0.0263,0.499,0.017,0.11,0.326,115.359,4
Dominick the Donkey (The Italian Christmas Donkey)Lou Monte,Lou Monte,Dominick the Donkey (The Italian Christmas Donkey),['novelty'],4EjOn21ToBHzjVnd6rqSyr,https://p.scdn.co/mp3-preview/690baa468ed6b625c5028f31d388018ddba4f2e6?cid=b8d3901151d34489a160e3cf0ab1fa94,150746,72,False,0.807,0.473,8,-11.383,1,0.047,0.68,0,0.179,0.963,113.237,4
AmerikaRammstein,Rammstein,Amerika,"['alternative metal', 'german metal', 'industrial', 'industrial metal', 'industrial rock', 'neue deutsche harte', 'nu metal']",33ayEZDfgARpadIdqo87JQ,,226760,57,False,0.608,0.885,2,-4.296,0,0.0963,0.00258,1.33e-05,0.392,0.518,125.023,4
Human NatureCaught a Ghost,Caught a Ghost,Human Nature,['la indie'],2wPjeOIDIgBimimzVVeSzs,https://p.scdn.co/mp3-preview/e5ccf0055cd38f45e0e2ff2f39e28f53166d3c07?cid=b8d3901151d34489a160e3cf0ab1fa94,214733,33,False,0.668,0.581,0,-6.92,1,0.0437,0.269,3.48e-06,0.0852,0.653,109.978,4
