Question Number,Question Text,University,Sample Size,% Agree
Q01,Staff are good at explaining things,University of Aberdeen,2523,0.9163
Q02,Staff have made the subject interesting,University of Aberdeen,2523,0.8282
Q03,The course is intellectually stimulating,University of Aberdeen,2523,0.8649
Q04,My course has challenged me to achieve my best work,University of Aberdeen,2523,0.8048
Q05,My course has provided me with opportunities to explore ideas or concepts in depth,University of Aberdeen,2523,0.8426
Q06,My course has provided me with opportunities to bring information and ideas together from different topics,University of Aberdeen,2523,0.8276
Q07,My course has provided me with opportunities to apply what I have learnt,University of Aberdeen,2523,0.7425
Q08,The criteria used in marking have been clear in advance,University of Aberdeen,2523,0.6739
Q09,Marking and assessment has been fair,University of Aberdeen,2523,0.7477
Q10,Feedback on my work has been timely,University of Aberdeen,2523,0.6059
Q11,I have received helpful comments on my work,University of Aberdeen,2523,0.6693
Q12,I have been able to contact staff when I needed to,University of Aberdeen,2523,0.8947
Q13,I have received sufficient advice and guidance in relation to my course,University of Aberdeen,2523,0.8009
Q14,Good advice was available when I needed to make study choices on my course,University of Aberdeen,2523,0.7116
Q15,The course is well organised and running smoothly,University of Aberdeen,2523,0.7412
Q16,The timetable works efficiently for me,University of Aberdeen,2523,0.8529
Q17,Any changes in the course or teaching have been communicated effectively,University of Aberdeen,2523,0.8214
Q18,The IT resources and facilities provided have supported my learning well,University of Aberdeen,2523,0.8503
Q19,"The library resources (e.g. books, online services and learning spaces) have supported my learning well",University of Aberdeen,2523,0.9075
Q20,"I have been able to access course-specific resources (e.g. equipment, facilities, software, collections) when I needed to",University of Aberdeen,2523,0.9219
Q21,I feel part of a community of staff and students,University of Aberdeen,2523,0.6984
Q22,I have had the right opportunities to work with other students as part of my course,University of Aberdeen,2523,0.8467
Q23,I have had the right opportunities to provide feedback on my course,University of Aberdeen,2523,0.9031
Q24,Staff value students’ views and opinions about the course,University of Aberdeen,2523,0.7595
Q25,It is clear how students’ feedback on the course has been acted on,University of Aberdeen,2523,0.5647
Q26,The students’ union (association or guild) effectively represents students’ academic interests,University of Aberdeen,2523,0.4809
Q27,"Overall, I am satisfied with the quality of the course",University of Aberdeen,2523,0.8669
Q01,Staff are good at explaining things,Abertay University,683,0.9448
Q02,Staff have made the subject interesting,Abertay University,683,0.8934
Q03,The course is intellectually stimulating,Abertay University,683,0.896
Q04,My course has challenged me to achieve my best work,Abertay University,683,0.8684
Q05,My course has provided me with opportunities to explore ideas or concepts in depth,Abertay University,683,0.8917
Q06,My course has provided me with opportunities to bring information and ideas together from different topics,Abertay University,683,0.8896
Q07,My course has provided me with opportunities to apply what I have learnt,Abertay University,683,0.8702
Q08,The criteria used in marking have been clear in advance,Abertay University,683,0.8383
Q09,Marking and assessment has been fair,Abertay University,683,0.811
Q10,Feedback on my work has been timely,Abertay University,683,0.7898
Q11,I have received helpful comments on my work,Abertay University,683,0.8535
Q12,I have been able to contact staff when I needed to,Abertay University,683,0.9085
Q13,I have received sufficient advice and guidance in relation to my course,Abertay University,683,0.8787
Q14,Good advice was available when I needed to make study choices on my course,Abertay University,683,0.8246
Q15,The course is well organised and running smoothly,Abertay University,683,0.7813
Q16,The timetable works efficiently for me,Abertay University,683,0.7574
Q17,Any changes in the course or teaching have been communicated effectively,Abertay University,683,0.8412
Q18,The IT resources and facilities provided have supported my learning well,Abertay University,683,0.8462
Q19,"The library resources (e.g. books, online services and learning spaces) have supported my learning well",Abertay University,683,0.863
Q20,"I have been able to access course-specific resources (e.g. equipment, facilities, software, collections) when I needed to",Abertay University,683,0.8488
Q21,I feel part of a community of staff and students,Abertay University,683,0.7036
Q22,I have had the right opportunities to work with other students as part of my course,Abertay University,683,0.8702
Q23,I have had the right opportunities to provide feedback on my course,Abertay University,683,0.9103
Q24,Staff value students’ views and opinions about the course,Abertay University,683,0.8355
Q25,It is clear how students’ feedback on the course has been acted on,Abertay University,683,0.6753
Q26,The students’ union (association or guild) effectively represents students’ academic interests,Abertay University,683,0.5309
Q27,"Overall, I am satisfied with the quality of the course",Abertay University,683,0.8915
Q01,Staff are good at explaining things,Aberystwyth University,1527,0.945
Q02,Staff have made the subject interesting,Aberystwyth University,1527,0.8924
Q03,The course is intellectually stimulating,Aberystwyth University,1527,0.8991
Q04,My course has challenged me to achieve my best work,Aberystwyth University,1527,0.8456
Q05,My course has provided me with opportunities to explore ideas or concepts in depth,Aberystwyth University,1527,0.8933
Q06,My course has provided me with opportunities to bring information and ideas together from different topics,Aberystwyth University,1527,0.8958
Q07,My course has provided me with opportunities to apply what I have learnt,Aberystwyth University,1527,0.8783
Q08,The criteria used in marking have been clear in advance,Aberystwyth University,1527,0.8266
Q09,Marking and assessment has been fair,Aberystwyth University,1527,0.8288
Q10,Feedback on my work has been timely,Aberystwyth University,1527,0.8318
Q11,I have received helpful comments on my work,Aberystwyth University,1527,0.8439
Q12,I have been able to contact staff when I needed to,Aberystwyth University,1527,0.9466
Q13,I have received sufficient advice and guidance in relation to my course,Aberystwyth University,1527,0.8575
Q14,Good advice was available when I needed to make study choices on my course,Aberystwyth University,1527,0.8236
