Point,Time Interval
1,0
2,0.025
3,0.05
4,0.075
5,0.1
6,0.125
7,0.15
8,0.175
9,0.2
10,0.225
11,0.25
12,0.275
13,0.3
14,0.325
15,0.35
16,0.375
17,0.4
18,0.425
19,0.45
20,0.475
21,0.5
22,0.525
23,0.55
24,0.575
25,0.6
26,0.625
27,0.65
28,0.675
29,0.7
30,0.725
31,0.75
32,0.775
33,0.8
34,0.825
35,0.85
36,0.875
37,0.9
38,0.925
39,0.95
40,0.975
41,1
42,1.025
43,1.05
44,1.075
45,1.1
46,1.125
47,1.15
48,1.175
49,1.2
50,1.225
51,1.25
52,1.275
53,1.3
54,1.325
55,1.35
56,1.375
57,1.4
58,1.425
59,1.45
60,1.475
61,1.5
62,1.525
63,1.55
64,1.575
65,1.6
66,1.625
67,1.65
68,1.675
69,1.7
70,1.725
71,1.75
72,1.775
73,1.8
74,1.825
75,1.85
76,1.875
77,1.9
78,1.925
79,1.95
80,1.975
81,2
82,2.025
83,2.05
84,2.075
85,2.1
86,2.125
87,2.15
88,2.175
89,2.2
90,2.225
91,2.25
92,2.275
93,2.3
94,2.325
95,2.35
96,2.375
97,2.4
98,2.425
99,2.45
100,2.475
101,2.5
102,2.525
103,2.55
104,2.575
105,2.6
106,2.625
107,2.65
108,2.675
109,2.7
110,2.725
111,2.75
112,2.775
113,2.8
114,2.825
115,2.85
116,2.875
117,2.9
118,2.925
119,2.95
120,2.975
121,3
122,3.025
123,3.05
124,3.075
125,3.1
126,3.125
127,3.15
128,3.175
129,3.2
130,3.225
131,3.25
132,3.275
133,3.3
134,3.325
135,3.35
136,3.375
137,3.4
138,3.425
139,3.45
140,3.475
141,3.5
142,3.525
143,3.55
144,3.575
145,3.6
146,3.625
147,3.65
148,3.675
149,3.7
150,3.725
151,3.75
152,3.775
153,3.8
154,3.825
155,3.85
156,3.875
157,3.9
158,3.925
159,3.95
160,3.975
161,4
162,4.025
163,4.05
164,4.075
165,4.1
166,4.125
167,4.15
168,4.175
169,4.2
170,4.225
171,4.25
172,4.275
173,4.3
174,4.325
175,4.35
176,4.375
177,4.4
178,4.425
179,4.45
180,4.475
181,4.5
182,4.525
183,4.55
184,4.575
185,4.6
186,4.625
187,4.65
188,4.675
189,4.7
190,4.725
191,4.75
192,4.775
193,4.8
194,4.825
195,4.85
196,4.875
197,4.9
198,4.925
199,4.95
200,4.975
201,5
202,5.025
203,5.05
204,5.075
205,5.1
206,5.125
207,5.15
208,5.175
209,5.2
210,5.225
211,5.25
212,5.275
213,5.3
214,5.325
215,5.35
216,5.375
217,5.4
218,5.425
219,5.45
220,5.475
221,5.5
