City Claim #,Date Of Accident,Claim Status,Last Close Date,Dept/division,Category,Cause,NOC Demand,Paid Bi,Paid Pd
20-0017-001,7/1/2020,F,4/5/2021,Water Distrib - Reservoir Yard,Operations,Water Main Break,"12,500.00",0.00,"13,914.06"
20-0017-002,7/1/2020,F,3/30/2021,Water Distrib - Reservoir Yard,Operations,Water Main Break,"2,500.00",0.00,"2,433.27"
20-0056-001,7/2/2020,F,3/2/2021,Pub Wks- Solid Waste Field Services Sout,Refuse/Garbage,Backing,"10,000.00",0.00,"9,764.55"
20-0456-001,7/2/2020,F,12/15/2020,Police- S. Mountain Precinct 400,Law Enforcement,Forced Entry,"2,959.85",0.00,0.00
20-0740-001,7/2/2020,O,,Police- Central City Precinct 500,Law Enforcement,Violate Civil Rights,,0.00,0.00
20-0385-001,7/3/2020,F,2/26/2021,Water Distrib - Corona Yard,Operations,Water Service Related,235.67,0.00,235.67
20-0552-001,7/3/2020,F,1/11/2021,Police- Central City Precinct 500,Law Enforcement,Violate Civil Rights,"175,000.00",0.00,0.00
20-0022-001,7/4/2020,O,,Police- Central City Precinct 500,Law Enforcement,Shooting,,0.00,0.00
20-0022-002,7/4/2020,O,,Police- Central City Precinct 500,Law Enforcement,Shooting,"10,000,000.00",0.00,0.00
20-0022-003,7/4/2020,O,,Police- Central City Precinct 500,Law Enforcement,Shooting,"10,000,000.00",0.00,0.00
20-0022-004,7/4/2020,O,,Police- Central City Precinct 500,Law Enforcement,Shooting,"10,000,000.00",0.00,0.00
20-0078-001,7/4/2020,F,8/14/2020,Police - Northern Precinct 200,Law Enforcement,Forced Entry,725.00,0.00,725.00
20-0684-001,7/4/2020,O,,Police- Central City Precinct 500,Law Enforcement,911 Operations,"2,500,000.00",0.00,0.00
20-0590-001,7/5/2020,O,,Police- Cactus Park Precinct 900,Police Vehicle,U-Turn,"15,000.00",0.00,0.00
20-0590-002,7/5/2020,F,5/25/2021,Police- Cactus Park Precinct 900,Police Vehicle,U-Turn,"5,428.30",0.00,"5,428.30"
20-9001-001,7/6/2020,O,,Planning Director's Office - Admin,Public Safety,Negligent Plan Approval,,0.00,0.00
