City Claim #,Date Of Accident,Claim Status,Last Close Date,Dept/division,Category,Cause,NOC Demand,Paid Bi,Paid Pd
21-0032-001,7/1/2021,F,8/26/2021,Pub Wks- Solid Waste Field Services Sout,Refuse/Garbage,Mechanical Failure,10000.00,0.00,0.00
21-0037-001,7/1/2021,F,9/22/2021,Pub Wks- Solid Waste Field Services Nort,Operations,Water Main Break,3000.00,0.00,0.00
21-0049-001,7/6/2021,F,9/10/2021,Pub Wks- Solid Waste Field Services East,Operations,Damage to Property/Injury to Persons,1350.00,0.00,675.00
21-0055-001,7/1/2021,F,10/11/2021,"Park & Ride Lot 79th Ave. - Security Station, Restroom Bldg #130, Equip & Lighting",Premises,Maint. Building/Premises,1000.00,0.00,1000.00
21-0057-001,7/15/2021,F,11/22/2021,Pub Wks- Solid Waste Field Services West,Refuse/Garbage,Failure to Yield,2686.82,0.00,0.00
21-0058-001,7/8/2021,O,,Police- Maryvale Precinct 800,Law Enforcement,Shooting,,0.00,0.00
21-0059-001,7/12/2021,O,,Pub Wks- Solid Waste Field Services East,Operations,Damage by Mobile Equipment,244.72,0.00,1360.33
21-0060-001,7/7/2021,F,8/25/2021,Pub Wks- Solid Waste Field Services West,Operations,Damage to Property/Injury to Persons,1500.00,0.00,1500.00
21-0063-001,7/2/2021,F,8/9/2021,Pub Wks- Solid Waste Field Services West,Operations,Damage to Property/Injury to Persons,750.00,0.00,750.00
21-0065-001,7/12/2021,O,,Aviation- Sky Harbor Airport/Terminals,Operations,Maint. of Equipment,540.00,0.00,0.00
21-0066-001,7/19/2021,F,9/9/2021,Pub Wks- Solid Waste Field Services Nort,Refuse/Garbage,Backing,7050.00,0.00,7050.00
21-0068-001,7/1/2021,F,10/7/2021,Pub Wks- Solid Waste Field Services East,Refuse/Garbage,Backing,5000.00,0.00,2800.00
21-0075-001,7/20/2021,F,8/24/2021,Water Distrib - Reservoir Yard,Operations,Water Service Related,6500.00,0.00,6500.00
21-0078-001,7/12/2021,F,8/10/2021,Street- North Maint Dist,Operations,Pot Hole,1054.15,0.00,0.00
21-0080-001,7/15/2021,F,9/1/2021,Water Distrib - Reservoir Yard,Operations,Flooding,4475.00,0.00,0.00
21-0081-001,7/10/2021,F,9/20/2021,Parks-SpecOps/Aquatcs/Forest/Cityw Sport,Operations,"Maint. of St., Sidewalks, Rights-of-way",4468.03,0.00,1000.00
21-0085-001,7/10/2021,F,8/16/2021,Parks-SpecOps/Aquatcs/Forest/Cityw Sport,Operations,Overhanging Tree,590.00,0.00,4838.01
21-0086-001,7/26/2021,F,12/23/2021,Pub Wks- Solid Waste Field Services Nort,Medium/Heavy,Backing,1287.00,0.00,0.00
21-0090-001,7/25/2021,O,,Water Distrib - Morten Yard,Operations,Water Main Break,,0.00,0.00
21-0090-002,7/25/2021,O,,Water Distrib - Morten Yard,Operations,Water Main Break,,0.00,0.00
21-0090-003,7/25/2021,O,,Water Distrib - Morten Yard,Operations,Water Main Break,,0.00,0.00
