transaction_date,transaction_hour,location_state,location_city,rewards_number,rewards_member,num_of_items,coupon_flag,discount_amt,order_amt
6/24/2020,1:26 PM,Florida,Miami,223-472-61,true,22,,,$213.68
5/15/2020,2:11 PM,South Carolina,Greenville,,,13,Yes,0.33,$155.59
2/20/2020,12:33 PM,Georgia,Atlanta,204-941-15,true,22,,,$106.82
7/22/2020,4:56 PM,Florida,Sarasota,446-940-80,true,17,Yes,0.25,$169.14
1/31/2020,7:53 PM,Florida,Pensacola,,,8,,,$72.93
2/16/2020,12:39 PM,Florida,Miami,,,26,,,$104.69
4/24/2020,5:17 PM,Florida,Daytona Beach,168-957-14,true,6,,,$23.50
11/7/2019,7:29 PM,Florida,Homestead,,,18,,,$94.76
3/6/2020,8:48 PM,Georgia,Lawrenceville,490-561-44,false,28,Yes,0.17,$105.71
10/1/2020,7:17 PM,Georgia,Atlanta,,,6,Yes,0.36,$202.52
2/7/2020,8:09 PM,Florida,Fort Lauderdale,823-124-53,false,7,Yes,0.42,$172.93
10/3/2020,4:33 PM,Florida,Palm Bay,,,4,,,$95.95
10/14/2020,2:50 PM,Florida,Tampa,,,12,,,$179.92
4/22/2020,4:14 PM,Alabama,Birmingham,,,22,Yes,0.41,$176.76
6/21/2020,7:29 PM,Alabama,Birmingham,825-217-44,false,33,,,$47.86
8/13/2020,5:04 PM,Florida,Tampa,,,26,,,$42.29
10/30/2020,7:11 PM,Florida,Orlando,,,25,,,$51.31
2/4/2020,11:28 AM,Alabama,Mobile,,,17,,,$91.34
11/27/2019,4:43 PM,Florida,Jacksonville,,,9,,,$125.20
10/11/2019,11:48 AM,Florida,Fort Lauderdale,672-081-20,false,29,,,$187.34
10/31/2019,8:23 PM,Florida,West Palm Beach,473-446-05,true,19,,,$208.82
7/27/2020,6:58 PM,Georgia,Atlanta,,,6,Yes,0.28,$67.64
6/6/2020,6:38 PM,Alabama,Huntsville,400-111-59,false,9,,,$96.53
5/16/2020,4:56 PM,Mississippi,Columbus,734-060-04,false,9,,,$64.23
8/13/2020,11:55 AM,Georgia,Gainesville,,,31,,,$216.70
11/16/2019,3:23 PM,Florida,Miami Beach,487-267-53,true,33,,,$61.08
4/22/2020,7:54 PM,Florida,Pompano Beach,,,11,,,$204.15
11/12/2019,11:40 AM,Georgia,Atlanta,,,13,,,$176.96
4/28/2020,7:48 PM,Florida,Gainesville,580-771-31,false,13,,,$45.35
8/23/2020,5:30 PM,South Carolina,Columbia,065-028-17,true,32,Yes,0.48,$176.22
10/7/2019,12:10 PM,Alabama,Mobile,903-626-07,true,30,Yes,0.34,$126.42
