(1.1) Sub-Category from Category Set,(1.2) Sub-Category from Category Set,All-in-one Calc (1),All-in-one Calc (2),All-in-one Calc (3),Category,Colour by Category Level,Manufacturer,Order Date,Product Name,Sub-Category,Sales
Bookcases,Bookcases,True,False,- Bookcases,Furniture,Sub-Category,Bush,08/11/2020,Bush Somerset Collection Bookcase,Bookcases,261.96
Chairs,Chairs,True,True,   -- Hon,Furniture,Manufacturer,Hon,08/11/2020,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Chairs,731.94
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Universal,12/06/2020,Self-Adhesive Address Labels for Typewriters by Universal,Labels,14.62
Tables,Tables,True,False,- Tables,Furniture,Sub-Category,Bretford,11/10/2019,Bretford CR4500 Series Slim Rectangular Table,Tables,957.5775
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Eldon,11/10/2019,Eldon Fold 'N Roll Cart System,Storage,22.368
Furnishings,Furnishings,True,False,- Furnishings,Furniture,Sub-Category,Eldon,09/06/2018,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",Furnishings,48.86
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Newell,09/06/2018,Newell 322,Art,7.28
,Technology,False,False,Technology,Technology,Category,Mitel,09/06/2018,Mitel 5320 IP Phone VoIP phone,Phones,907.152
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,DXL,09/06/2018,DXL Angle-View Binders with Locking Rings by Samsill,Binders,18.504
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Belkin,09/06/2018,Belkin F5C206VTEL 6 Outlet Surge,Appliances,114.9
Tables,Tables,True,False,- Tables,Furniture,Sub-Category,Chromcraft,09/06/2018,Chromcraft Rectangular Conference Tables,Tables,1706.184
,Technology,False,False,Technology,Technology,Category,Other,09/06/2018,Konftel 250 Conference phone - Charcoal black,Phones,911.424
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Xerox,15/04/2021,Xerox 1967,Paper,15.552
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Fellowes,05/12/2020,Fellowes PB200 Plastic Comb Binding Machine,Binders,407.976
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Holmes,22/11/2019,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",Appliances,68.81
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Storex,22/11/2019,Storex DuraTech Recycled Plastic Frosted Binders,Binders,2.544
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Other,11/11/2018,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",Storage,665.88
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Fellowes,13/05/2018,Fellowes Super Stor/Drawer,Storage,55.5
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Newell,27/08/2018,Newell 341,Art,8.56
,Technology,False,False,Technology,Technology,Category,Cisco,27/08/2018,Cisco SPA 501G IP Phone,Phones,213.48
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Wilson Jones,27/08/2018,"Wilson Jones Hanging View Binder, White, 1""",Binders,22.72
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Newell,09/12/2020,Newell 318,Art,19.46
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Acco,09/12/2020,"Acco Six-Outlet Power Strip, 4' Cord Length",Appliances,60.34
Chairs,Chairs,True,True,   -- Global,Furniture,Manufacturer,Global,16/07/2021,"Global Deluxe Stacking Chair, Gray",Chairs,71.372
Tables,Tables,True,False,- Tables,Furniture,Sub-Category,Bretford,25/09/2019,Bretford CR4500 Series Slim Rectangular Table,Tables,1044.63
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Wilson Jones,16/01/2020,Wilson Jones Active Use Binders,Binders,11.648
,Technology,False,False,Technology,Technology,Category,Other,16/01/2020,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,Accessories,90.57
Bookcases,Bookcases,True,False,- Bookcases,Furniture,Sub-Category,Riverside,17/09/2019,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Bookcases,3083.43
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Avery,17/09/2019,Avery Recycled Flexi-View Covers for Binding Systems,Binders,9.618
