AccountId,CampaignId,CloseDate,ContactId,CreatedById,CreatedDate,CurrentGenerators__c,DeliveryInstallationStatus__c,Description,Fiscal,ForecastCategory,ForecastCategoryName,HasOpenActivity,HasOpportunityLineItem,HasOverdueTask,Id,IsClosed,IsDeleted,IsPrivate,IsWon,LastActivityDate,LastAmountChangedHistoryId,LastCloseDateChangedHistoryId,LastModifiedById,LastModifiedDate,LastReferencedDate,LastStageChangeDate,LastViewedDate,LeadSource,MainCompetitors__c,Name,NextStep,Opportunity_Source__c,OrderNumber__c,OwnerId,Pricebook2Id,RecordTypeId,StageName,SystemModstamp,TrackingNumber__c,Type,Amount,ExpectedRevenue,FiscalQuarter,FiscalYear,Number of Records,Probability,PushCount,TotalOpportunityQuantity
0012w00001A3RMNAA3,,30/01/2029 00:00:00,,0052w00000AmcINAAZ,7/12/2022 00:38:43,,,,2021 4,Closed,Closed,false,true,false,0062w00000H1nYbAAJ,true,false,false,true,,,,0052w00000AmcINAAZ,7/12/2022 00:38:43,,,,Employee Referral,,Opportunity for Luna1760,,AE,,0052w00000AqoUxAAJ,01s2w00000HW9HfAAL,0122w000001WDF4AAO,Closed Won,7/12/2022 00:38:43,,New Business / Add-on,89400,89400,4,2021,1,100,0,149
0012w00001A3RZtAAN,,14/12/2029 00:00:00,,0052w00000AmcINAAZ,7/12/2022 00:38:43,,,,2022 3,Pipeline,Pipeline,true,true,false,0062w00000H1nYcAAJ,false,false,false,false,17/12/2029 00:00:00,0082w00000ox5qDAAQ,,0052w00000AmcINAAZ,7/12/2022 00:38:43,,,,Partner,,Opportunity for Sanders1761,,BDR,,0052w00000AqoUzAAJ,01s2w00000HW9HfAAL,0122w000001WDF4AAO,Qualification,7/12/2022 00:38:43,,New Business,1049880,104988,3,2022,1,10,0,3263
0012w00001A3RZWAA3,,31/01/2029 00:00:00,,0052w00000AmcINAAZ,7/12/2022 00:38:43,,,,2021 4,Closed,Closed,false,true,false,0062w00000H1nMTAAZ,true,false,false,true,,0082w00000ox5l3AAA,,0052w00000AmcINAAZ,7/12/2022 00:38:43,,,,Employee Referral,,Opportunity for Collins378,,AE,,0052w00000AqoUmAAJ,01s2w00000HW9HfAAL,0122w000001WDF4AAO,Closed Won,7/12/2022 00:38:43,,New Business,446850,446850,4,2021,1,100,0,1961
0012w00001A3RTuAAN,,18/01/2030 00:00:00,,0052w00000AmcINAAZ,7/12/2022 00:38:43,,,,2022 4,BestCase,Best Case,true,true,false,0062w00000H1nMNAAZ,false,false,false,false,19/12/2029 00:00:00,,,0052w00000AmcINAAZ,7/12/2022 00:38:43,,,,Employee Referral,,Opportunity for Francis298,,AE,,0052w00000AqoUzAAJ,01s2w00000HW9HfAAL,0122w000001WDF4AAO,Perception Analysis,7/12/2022 00:38:43,,New Business / Add-on,219000,153300,4,2022,1,70,0,365
0012w00001A3RZdAAN,,26/12/2029 00:00:00,,0052w00000AmcINAAZ,7/12/2022 00:38:43,,,,2022 3,Pipeline,Pipeline,true,true,false,0062w00000H1nMOAAZ,false,false,false,false,13/11/2029 00:00:00,,,0052w00000AmcINAAZ,7/12/2022 00:38:43,,,,Employee Referral,,Opportunity for McBride299,,AE,,0052w00000AqoUuAAJ,01s2w00000HW9HfAAL,0122w000001WDF4AAO,Value Proposition,7/12/2022 00:38:43,,New Business,567000,283500,3,2022,1,50,0,2009
0012w00001A3RVUAA3,,24/07/2029 00:00:00,,0052w00000AmcINAAZ,7/12/2022 00:38:43,,,,2022 2,Closed,Closed,false,true,false,0062w00000H1nMPAAZ,true,false,false,true,,0082w00000ox5l0AAA,,0052w00000AmcINAAZ,7/12/2022 00:38:43,,,,Public Relations,,Opportunity for Miller300,,BDR,,0052w00000AqoUsAAJ,01s2w00000HW9HfAAL,0122w000001WDF4AAO,Closed Won,7/12/2022 00:38:43,,New Business,2303500,2303500,2,2022,1,100,0,1871
0012w00001A3RNEAA3,,24/12/2029 00:00:00,,0052w00000AmcINAAZ,7/12/2022 00:38:43,,,,2022 3,BestCase,Best Case,true,true,false,0062w00000H1nMQAAZ,false,false,false,false,31/10/2029 00:00:00,0082w00000ox5l1AAA,,0052w00000AmcINAAZ,7/12/2022 00:38:43,,,,Public Relations,,Opportunity for Cross303,,AE,,0052w00000AqoUjAAJ,01s2w00000HW9HfAAL,0122w000001WDF4AAO,Perception Analysis,7/12/2022 00:38:43,,New Business,2086050,1460235,3,2022,1,70,0,3527
0012w00001A3RNlAAN,,8/12/2029 00:00:00,,0052w00000AmcINAAZ,7/12/2022 00:38:43,,,,2022 3,BestCase,Best Case,true,true,false,0062w00000H1nMSAAZ,false,false,false,false,12/11/2029 00:00:00,0082w00000ox5l2AAA,,0052w00000AmcINAAZ,7/12/2022 00:38:43,,,,Word of mouth,,Opportunity for Figueroa377,,Marketing,,0052w00000AqoUjAAJ,01s2w00000HW9HfAAL,0122w000001WDF4AAO,Perception Analysis,7/12/2022 00:38:43,,New Business / Add-on,5839810,4087867,3,2022,1,70,0,6162
0012w00001A3RNWAA3,,23/10/2029 00:00:00,,0052w00000AmcINAAZ,7/12/2022 00:38:43,,,,2022 3,Closed,Closed,false,true,false,0062w00000H1nMXAAZ,true,false,false,true,,,,0052w00000AmcINAAZ,7/12/2022 00:38:43,,,,Employee Referral,,Opportunity for May386,,Marketing,,0052w00000AqoUiAAJ,01s2w00000HW9HfAAL,0122w000001WDF4AAO,Closed Won,7/12/2022 00:38:43,,New Business,150240,150240,3,2022,1,100,0,1252
0012w00001A3RXaAAN,,14/04/2030 00:00:00,,0052w00000AmcINAAZ,7/12/2022 00:38:43,,,,2023 1,Pipeline,Pipeline,true,true,false,0062w00000H1nMYAAZ,false,false,false,false,3/12/2029 00:00:00,,,0052w00000AmcINAAZ,7/12/2022 00:38:43,,,,Word of mouth,,Opportunity for Hart387,,Alliances,,0052w00000AqoUiAAJ,01s2w00000HW9HfAAL,0122w000001WDF4AAO,Needs Analysis,7/12/2022 00:38:43,,New Business / Add-on,822800,164560,1,2023,1,20,0,968
0012w00001A3RRLAA3,,25/10/2029 00:00:00,,0052w00000AmcINAAZ,7/12/2022 00:38:43,,,,2022 3,Closed,Closed,false,true,false,0062w00000H1nMZAAZ,true,false,false,true,,,,0052w00000AmcINAAZ,7/12/2022 00:38:43,,,,Partner,,Opportunity for Perry395,,Alliances,,0052w00000AqoUrAAJ,01s2w00000HW9HfAAL,0122w000001WDF4AAO,Closed Won,7/12/2022 00:38:43,,New Business,237840,237840,3,2022,1,100,0,1982
0012w00001A3RPGAA3,,31/01/2030 00:00:00,,0052w00000AmcINAAZ,7/12/2022 00:38:43,,,,2022 4,Pipeline,Pipeline,true,true,false,0062w00000H1nMbAAJ,false,false,false,false,26/11/2029 00:00:00,0082w00000ox5l4AAA,,0052w00000AmcINAAZ,7/12/2022 00:38:43,,,,Advertisement,,Opportunity for Nunez399,,Marketing,,0052w00000AqoUxAAJ,01s2w00000HW9HfAAL,0122w000001WDF4AAO,Prospecting,7/12/2022 00:38:43,,New Business / Add-on,844100,84410,4,2022,1,10,0,2013
0012w00001A3RTbAAN,,25/06/2029 00:00:00,,0052w00000AmcINAAZ,7/12/2022 00:38:43,,,,2022 1,Closed,Closed,false,true,false,0062w00000H1nMcAAJ,true,false,false,true,,,,0052w00000AmcINAAZ,7/12/2022 00:38:43,,,,Partner,,Opportunity for Goodwin400,,BDR,,0052w00000AqoUkAAJ,01s2w00000HW9HfAAL,0122w000001WDF4AAO,Closed Won,7/12/2022 00:38:43,,New Business / Add-on,175770,175770,1,2022,1,100,0,1953
0012w00001A3RWgAAN,,29/04/2029 00:00:00,,0052w00000AmcINAAZ,7/12/2022 00:38:43,,,,2022 1,Closed,Closed,false,true,false,0062w00000H1nMdAAJ,true,false,false,true,,0082w00000ox5l5AAA,,0052w00000AmcINAAZ,7/12/2022 00:38:43,,,,Trade Show,,Opportunity for Diaz177,,Marketing,,0052w00000AqoUiAAJ,01s2w00000HW9HfAAL,0122w000001WDF4AAO,Closed Won,7/12/2022 00:38:43,,New Business,130515,130515,1,2022,1,100,0,980
