RecordID,id,Name,Value,random1,random2
10000,Respondent #1,Design - I easily understood how to use the product.,Strongly Disagree,0.182613,0.070808
10001,Respondent #1,Design - I had no trouble installing the product.,Strongly Agree,0.939245,0.953616
10002,Respondent #1,"Design - The product's design is unintuitive.",Disagree,0.892057,0.474469
10003,Respondent #1,Quality - The product was durable.,Agree,0.956061,0.475618
10004,Respondent #1,Quality - The product was free from scratches.,Neutral,0.226911,0.475803
10005,Respondent #1,Quality - The product is deformed.,Agree,0.908672,0.899307
10006,Respondent #1,Pricing - The product is affordable.,Agree,0.329214,0.298941
10007,Respondent #1,Pricing - The product saves me valuable time.,Neutral,0.379207,0.560019
10008,Respondent #1,Pricing - The product saves me valuable effort.,Disagree,0.340948,0.626258
10009,Respondent #2,Design - I easily understood how to use the product.,Disagree,0.363776,0.604714
10010,Respondent #2,Design - I had no trouble installing the product.,Agree,0.443464,0.207363
10011,Respondent #2,"Design - The product's design is unintuitive.",Neutral,0.932127,0.039283
10012,Respondent #2,Quality - The product was durable.,Agree,0.409344,0.979694
10013,Respondent #2,Quality - The product was free from scratches.,Neutral,0.932924,0.210735
10014,Respondent #2,Quality - The product is deformed.,Neutral,0.629957,0.565794
10015,Respondent #2,Pricing - The product is affordable.,Strongly Disagree,0.947543,0.080083
10016,Respondent #2,Pricing - The product saves me valuable time.,Agree,0.832924,0.988313
10017,Respondent #2,Pricing - The product saves me valuable effort.,Strongly Disagree,0.798734,0.572107
10018,Respondent #3,Design - I easily understood how to use the product.,Strongly Disagree,0.692029,0.245299
10019,Respondent #3,Design - I had no trouble installing the product.,Agree,0.845752,0.955739
10020,Respondent #3,"Design - The product's design is unintuitive.",Agree,0.984895,0.232484
10021,Respondent #3,Quality - The product was durable.,Neutral,0.844244,0.438062
10022,Respondent #3,Quality - The product was free from scratches.,Disagree,0.71178,0.911202
10023,Respondent #3,Quality - The product is deformed.,Agree,0.30405,0.472554
10024,Respondent #3,Pricing - The product is affordable.,Disagree,0.818093,0.381681
10025,Respondent #3,Pricing - The product saves me valuable time.,Agree,0.039646,0.144861
10026,Respondent #3,Pricing - The product saves me valuable effort.,Strongly Disagree,0.280968,0.105807
10027,Respondent #4,Design - I easily understood how to use the product.,Agree,0.939975,0.22447
10028,Respondent #4,Design - I had no trouble installing the product.,Agree,0.916756,0.409209
10029,Respondent #4,"Design - The product's design is unintuitive.",Neutral,0.433383,0.886884
10030,Respondent #4,Quality - The product was durable.,Agree,0.460911,0.762725
10031,Respondent #4,Quality - The product was free from scratches.,Disagree,0.908512,0.252195
10032,Respondent #4,Quality - The product is deformed.,Neutral,0.166285,0.353071
10033,Respondent #4,Pricing - The product is affordable.,Strongly Disagree,0.959595,0.454605
10034,Respondent #4,Pricing - The product saves me valuable time.,Agree,0.302784,0.933473
10035,Respondent #4,Pricing - The product saves me valuable effort.,Strongly Disagree,0.246797,0.038912
10036,Respondent #5,Design - I easily understood how to use the product.,Disagree,0.729251,0.221772
10037,Respondent #5,Design - I had no trouble installing the product.,Agree,0.810018,0.311367
10038,Respondent #5,"Design - The product's design is unintuitive.",Neutral,0.191432,0.023452
10039,Respondent #5,Quality - The product was durable.,Disagree,0.425598,0.466439
10040,Respondent #5,Quality - The product was free from scratches.,Disagree,0.685683,0.684756
10041,Respondent #5,Quality - The product is deformed.,Agree,0.026399,0.076974
10042,Respondent #5,Pricing - The product is affordable.,Strongly Disagree,0.33944,0.581144
10043,Respondent #5,Pricing - The product saves me valuable time.,Neutral,0.253977,0.454389
10044,Respondent #5,Pricing - The product saves me valuable effort.,Strongly Disagree,0.195549,0.401964
10045,Respondent #6,Design - I easily understood how to use the product.,Strongly Disagree,0.670843,0.177205
10046,Respondent #6,Design - I had no trouble installing the product.,Strongly Agree,0.75938,0.766197
10047,Respondent #6,"Design - The product's design is unintuitive.",Strongly Agree,0.795739,0.372897
10048,Respondent #6,Quality - The product was durable.,Strongly Agree,0.224107,0.947701
