Region,Sub-Category,Sales
West,Tables,84754.562
South,Tables,43916.192
East,Tables,39139.807
Central,Tables,39154.971
West,Supplies,18127.122
South,Supplies,8318.928
East,,10760.116
Central,Supplies,9467.372
West,Storage,70532.852
South,Storage,35768.06
East,,71612.584
Central,Storage,45930.112
West,Phones,98684.352
South,Phones,58304.438
East,,100614.982
Central,Phones,72403.282
West,Paper,26663.718
South,Paper,14150.984
East,Paper,20172.602
Central,Paper,17491.902
West,Machines,42444.122
South,Machines,53890.96
East,Machines,66106.165
Central,Machines,26797.384
West,Labels,5078.726
South,,2353.18
East,Labels,2602.934
Central,Labels,2451.472
West,Furnishings,30072.73
South,Furnishings,17306.684
East,Furnishings,29071.38
Central,Furnishings,15254.37
West,Fasteners,923.216
South,Fasteners,503.316
East,Fasteners,819.718
Central,Fasteners,778.03
West,Envelopes,4118.1
South,Envelopes,3345.556
East,Envelopes,4375.874
Central,Envelopes,4636.872
West,Copiers,49749.242
South,Copiers,9299.756
East,Copiers,53219.462
Central,Copiers,37259.57
West,Chairs,101781.328
South,Chairs,45176.446
East,Chairs,96260.683
Central,Chairs,85230.646
West,Bookcases,36004.1235
South,Bookcases,10899.362
East,Bookcases,43819.334
Central,Bookcases,24157.1768
West,Binders,55961.113
South,Binders,37030.341
East,Binders,53497.997
Central,Binders,56923.282
West,Art,9212.066
South,Art,4655.622
East,Art,7485.764
Central,Art,5765.34
West,Appliances,30236.336
South,Appliances,19525.326
East,Appliances,34188.466
Central,Appliances,23582.033
West,Accessories,61114.116
South,Accessories,27276.754
East,Accessories,45033.372
Central,Accessories,33956.076
