Absolute Discount,Billing Country,Close Date Year,List Price,Opportunity Type,Product Family,Product Name,Quantity,Sales Price,Total List Price,Total Price
0,USA,2029,0,New Business / Add-on,,,0,0,0,0
436275,USA,2029,450,Existing Business,Phones,Space phone 2,1939,225,872550,436275
306600,USA,2029,1600,Existing Business,Laptops,Pro laptop,1533,1400,2452800,2146200
9070,USA,2029,100,Existing Business,Accessories,Keyboard,907,90,90700,81630
84600,Belgium,2029,550,New Business / Add-on,Phones,Space phone 3,1692,500,930600,846000
0,Switzerland,2029,0,New Business,,,0,0,0,0
0,Canada,2028,0,New Business / Add-on,,,0,0,0,0
227800,Taiwan,2029,2400,New Business / Add-on,Laptops,Notebook,2278,2200,2733600,2505800
36300,Taiwan,2029,120,New Business / Add-on,Accessories,Mouse,3630,100,217800,181500
320800,Taiwan,2029,800,New Business / Add-on,Tablets,Light tablet,1604,600,1283200,962400
40750,Canada,2029,250,New Business,Accessories,Cables,4075,200,203750,163000
7990,India,2029,50,New Business,Accessories,Cables,799,40,39950,31960
117000,India,2029,1200,New Business,Laptops,Notebook,1170,1100,1404000,1287000
259950,Germany,2029,2800,New Business,Laptops,Light laptop,1733,2500,2426200,2166250
187500,Germany,2029,1650,New Business,Phones,Space phone 3,3750,1500,2062500,1875000
248200,Germany,2029,800,New Business,Tablets,Light tablet,1241,600,992800,744600
22050,India,2028,150,New Business,Digital Media,Books,735,120,110250,88200
35410,Normway,2029,120,New Business / Add-on,Accessories,Mouse,3541,100,212460,177050
4090,Normway,2029,50,New Business / Add-on,Accessories,Cables,409,40,20450,16360
511200,Normway,2029,900,New Business / Add-on,Phones,Space phone 2,2272,450,1022400,511200
24300,Normway,2029,150,New Business,Digital Media,Books,810,120,121500,97200
186800,Normway,2029,800,New Business,Tablets,Light tablet,934,600,747200,560400
738675,Canada,2029,1800,New Business,Phones,Space phone 2,3283,900,1477350,738675
170000,Canada,2029,1650,New Business,Phones,Space phone 3,3400,1500,1870000,1700000
94360,USA,2029,350,New Business,Accessories,Cables,9436,280,471800,377440
349650,USA,2029,2800,Existing Business,Laptops,Light laptop,2331,2500,3263400,2913750
126570,USA,2029,450,Existing Business,Digital Media,Books,4219,360,632850,506280
404800,Belgium,2029,2000,New Business / Add-on,Laptops,Mega laptop,1012,1600,2024000,1619200
253650,Belgium,2029,1400,New Business / Add-on,Laptops,Light laptop,1691,1250,2367400,2113750
138700,Belgium,2029,300,New Business / Add-on,Digital Media,Courses,1387,200,416100,277400
519400,Canada,2029,1800,Existing Business,Tablets,Mini tablet,2597,1200,1558200,1038800
294150,Russian,2029,650,New Business / Add-on,Tablets,Mini tablet 2,1961,500,1274650,980500
0,India,2028,0,New Business,,,0,0,0,0
91500,Canada,2029,1200,New Business / Add-on,Laptops,Notebook,915,1100,1098000,1006500
106100,Canada,2029,2200,New Business / Add-on,Phones,Space phone 3,2122,2000,1167100,1061000
520600,Canada,2029,4800,New Business / Add-on,Laptops,Pro laptop,2603,4200,4164800,3644200
0,Canada,2029,2000,New Business / Add-on,Digital Media,Certifications,3637,2000,1818500,1818500
0,Canada,2029,1500,New Business,Digital Media,Certifications,3962,1500,1981000,1981000
76200,Canada,2029,450,New Business,Digital Media,Books,2540,360,381000,304800
891150,Canada,2029,3250,New Business,Tablets,Mini tablet 2,5941,2500,3861650,2970500
141360,USA,2029,600,New Business,Digital Media,Books,4712,480,706800,565440
529400,USA,2029,4800,New Business,Laptops,Pro laptop,2647,4200,4235200,3705800
52650,USA,2029,650,New Business,Tablets,Mini tablet 2,351,500,228150,175500
3000,Japan,2029,800,New Business,Tablets,Light tablet,15,600,12000,9000
437850,Japan,2029,450,New Business,Phones,Space phone 2,1946,225,875700,437850
29220,USA,2029,200,New Business / Add-on,Accessories,Keyboard,2922,180,292200,262980
35300,Japan,2029,150,New Business,Accessories,Cables,3530,120,176500,141200
71350,Japan,2029,600,New Business / Add-on,Accessories,Keyboard,7135,540,713500,642150
94000,Japan,2029,2400,New Business / Add-on,Laptops,Notebook,940,2200,1128000,1034000
0,Canada,2028,0,New Business,,,0,0,0,0
21520,USA,2029,180,New Business,Accessories,Mouse,2152,150,129120,107600
174300,USA,2029,1000,New Business,Tablets,Light tablet 2,1162,850,1162000,987700
6480,USA,2029,100,New Business / Add-on,Accessories,Cables,648,80,32400,25920
250950,USA,2029,1000,New Business / Add-on,Tablets,Light tablet 2,1673,850,1673000,1422050
112500,USA,2029,1650,New Business / Add-on,Phones,Space phone 3,2250,1500,1237500,1125000
0,Russian,2029,0,New Business,,,0,0,0,0
0,Russian,2029,0,Existing Business,,,0,0,0,0
