OppID,StageName,SortOrder,CreatedDate
0068d000002OragAAC,Prospecting,1,2023-01-21 00:00:00
0068d000002OragAAC,Closed Won,9,2023-01-28 00:00:00
0068d000002OravAAC,Prospecting,1,2023-01-22 00:00:00
0068d000002OravAAC,Qualification,2,2023-01-23 00:00:00
0068d000002OravAAC,Value Proposition,4,2023-02-06 00:00:00
0068d000002OravAAC,Negotiation/Review,8,2023-02-13 00:00:00
0068d000002OravAAC,Closed Lost,10,2023-02-18 00:00:00
0068d000002Orb1AAC,Prospecting,1,2023-01-10 00:00:00
0068d000002Orb1AAC,Qualification,2,2023-01-20 00:00:00
0068d000002Orb1AAC,Value Proposition,4,2023-01-27 00:00:00
0068d000002Orb1AAC,Negotiation/Review,8,2023-02-02 00:00:00
0068d000002Orb1AAC,Closed Won,9,2023-02-05 00:00:00
0068d000002OrbBAAS,Prospecting,1,2023-02-04 00:00:00
0068d000002OrbBAAS,Qualification,2,2023-02-16 00:00:00
0068d000002OrbBAAS,Value Proposition,4,2023-02-25 00:00:00
0068d000002OrbBAAS,Negotiation/Review,8,2023-03-07 00:00:00
0068d000002OrbCAAS,Prospecting,1,2023-01-10 00:00:00
0068d000002OrbCAAS,Qualification,2,2023-01-18 00:00:00
0068d000002OrbCAAS,Value Proposition,4,2023-01-22 00:00:00
0068d000002OrbCAAS,Negotiation/Review,8,2023-02-04 00:00:00
0068d000002OrbCAAS,Closed Lost,10,2023-02-10 00:00:00
0068d000002OrbMAAS,Prospecting,1,2023-03-02 00:00:00
0068d000002OrbNAAS,Qualification,2,2023-02-19 00:00:00
0068d000002OrbNAAS,Value Proposition,4,2023-02-22 00:00:00
0068d000002OrbpAAC,Prospecting,1,2023-04-01 00:00:00
0068d000002OrbpAAC,Qualification,2,2023-04-07 00:00:00
0068d000002OrbpAAC,Value Proposition,4,2023-04-12 00:00:00
0068d000002OrbpAAC,Negotiation/Review,8,2023-04-13 00:00:00
0068d000002OrbzAAC,Prospecting,1,2023-01-22 00:00:00
0068d000002OrbzAAC,Qualification,2,2023-02-01 00:00:00
0068d000002OrbzAAC,Negotiation/Review,8,2023-02-07 00:00:00
0068d000002OrbzAAC,Closed Won,9,2023-02-21 00:00:00
0068d000002OrbZAAS,Prospecting,1,2023-01-09 00:00:00
0068d000002OrbZAAS,Value Proposition,4,2023-01-16 00:00:00
0068d000002OrbZAAS,Closed Won,9,2023-01-26 00:00:00
0068d000002Orc8AAC,Prospecting,1,2023-01-17 00:00:00
0068d000002Orc8AAC,Qualification,2,2023-01-31 00:00:00
0068d000002Orc8AAC,Negotiation/Review,8,2023-02-03 00:00:00
0068d000002Orc8AAC,Closed Lost,10,2023-02-03 00:00:00
0068d000002Orc9AAC,Prospecting,1,2023-01-02 00:00:00
0068d000002Orc9AAC,Qualification,2,2023-01-08 00:00:00
0068d000002Orc9AAC,Value Proposition,4,2023-01-22 00:00:00
0068d000002Orc9AAC,Closed Lost,10,2023-02-04 00:00:00
0068d000002OrcBAAS,Prospecting,1,2023-02-09 00:00:00
0068d000002OrcBAAS,Qualification,2,2023-02-12 00:00:00
0068d000002OrcFAAS,Prospecting,1,2023-01-31 00:00:00
0068d000002OrcFAAS,Qualification,2,2023-02-03 00:00:00
0068d000002OrcFAAS,Value Proposition,4,2023-02-14 00:00:00
0068d000002OrcFAAS,Negotiation/Review,8,2023-02-21 00:00:00
0068d000002OrcFAAS,Closed Lost,10,2023-02-24 00:00:00
0068d000002OrcgAAC,Prospecting,1,2023-01-30 00:00:00
0068d000002OrcgAAC,Value Proposition,4,2023-02-01 00:00:00
0068d000002OrcgAAC,Closed Won,9,2023-02-12 00:00:00
0068d000002OrcvAAC,Prospecting,1,2023-01-28 00:00:00
0068d000002OrcvAAC,Qualification,2,2023-01-30 00:00:00
0068d000002OrcvAAC,Value Proposition,4,2023-02-02 00:00:00
0068d000002OrcvAAC,Negotiation/Review,8,2023-02-05 00:00:00
0068d000002OrcvAAC,Closed Lost,10,2023-02-13 00:00:00
0068d000002Ord4AAC,Prospecting,1,2023-01-04 00:00:00
0068d000002Ord4AAC,Qualification,2,2023-01-14 00:00:00
0068d000002Ord4AAC,Value Proposition,4,2023-01-18 00:00:00
0068d000002Ord4AAC,Closed Lost,10,2023-01-23 00:00:00
0068d000002Ord6AAC,Prospecting,1,2023-04-02 00:00:00
0068d000002Ord6AAC,Qualification,2,2023-04-15 00:00:00
0068d000002Ord8AAC,Prospecting,1,2023-01-05 00:00:00
0068d000002Ord8AAC,Qualification,2,2023-01-05 00:00:00
0068d000002Ord8AAC,Negotiation/Review,8,2023-01-16 00:00:00
0068d000002Ord8AAC,Closed Won,9,2023-01-26 00:00:00
0068d000002OrdAAAS,Prospecting,1,2023-01-24 00:00:00
0068d000002OrdAAAS,Qualification,2,2023-01-25 00:00:00
0068d000002OrdAAAS,Closed Won,9,2023-02-02 00:00:00
0068d000002OrdBAAS,Prospecting,1,2023-03-15 00:00:00
0068d000002OrdBAAS,Qualification,2,2023-03-20 00:00:00
0068d000002OrdCAAS,Prospecting,1,2023-01-26 00:00:00
0068d000002OrdCAAS,Negotiation/Review,8,2023-02-01 00:00:00
0068d000002OrdCAAS,Closed Won,9,2023-02-12 00:00:00
0068d000002OrdLAAS,Qualification,2,2023-03-30 00:00:00
0068d000002OrdLAAS,Value Proposition,4,2023-04-13 00:00:00
