Day,Source Data,Year,Month,Extent 10^6 sq km
26,['/ecs/DP1/PM/NSIDC-0051.001/1978.10.26/nt_19781026_n07_v1.1_s.bin'],1978,10,17.624
28,['/ecs/DP1/PM/NSIDC-0051.001/1978.10.28/nt_19781028_n07_v1.1_s.bin'],1978,10,17.803
30,['/ecs/DP1/PM/NSIDC-0051.001/1978.10.30/nt_19781030_n07_v1.1_s.bin'],1978,10,17.67
1,['/ecs/DP1/PM/NSIDC-0051.001/1978.11.01/nt_19781101_n07_v1.1_s.bin'],1978,11,17.527
3,['/ecs/DP1/PM/NSIDC-0051.001/1978.11.03/nt_19781103_n07_v1.1_s.bin'],1978,11,17.486
5,['/ecs/DP1/PM/NSIDC-0051.001/1978.11.05/nt_19781105_n07_v1.1_s.bin'],1978,11,17.343
7,['/ecs/DP1/PM/NSIDC-0051.001/1978.11.07/nt_19781107_n07_v1.1_s.bin'],1978,11,17.157
9,['/ecs/DP1/PM/NSIDC-0051.001/1978.11.09/nt_19781109_n07_v1.1_s.bin'],1978,11,17.028
11,['/ecs/DP1/PM/NSIDC-0051.001/1978.11.11/nt_19781111_n07_v1.1_s.bin'],1978,11,16.815
13,['/ecs/DP1/PM/NSIDC-0051.001/1978.11.13/nt_19781113_n07_v1.1_s.bin'],1978,11,16.371
15,['/ecs/DP1/PM/NSIDC-0051.001/1978.11.15/nt_19781115_n07_v1.1_s.bin'],1978,11,16.176
17,['/ecs/DP1/PM/NSIDC-0051.001/1978.11.17/nt_19781117_n07_v1.1_s.bin'],1978,11,15.52
19,['/ecs/DP1/PM/NSIDC-0051.001/1978.11.19/nt_19781119_n07_v1.1_s.bin'],1978,11,15.267
21,['/ecs/DP1/PM/NSIDC-0051.001/1978.11.21/nt_19781121_n07_v1.1_s.bin'],1978,11,15.027
23,['/ecs/DP1/PM/NSIDC-0051.001/1978.11.23/nt_19781123_n07_v1.1_s.bin'],1978,11,14.681
25,['/ecs/DP1/PM/NSIDC-0051.001/1978.11.25/nt_19781125_n07_v1.1_s.bin'],1978,11,14.449
27,['/ecs/DP1/PM/NSIDC-0051.001/1978.11.27/nt_19781127_n07_v1.1_s.bin'],1978,11,13.98
29,['/ecs/DP1/PM/NSIDC-0051.001/1978.11.29/nt_19781129_n07_v1.1_s.bin'],1978,11,13.619
1,['/ecs/DP1/PM/NSIDC-0051.001/1978.12.01/nt_19781201_n07_v1.1_s.bin'],1978,12,13.33
3,['/ecs/DP1/PM/NSIDC-0051.001/1978.12.03/nt_19781203_n07_v1.1_s.bin'],1978,12,13.097
