Entity,Fuel,Year,TWh
Algeria,Coal,2000,5.6405497
Algeria,Coal,2001,6.5127997
Algeria,Coal,2002,8.54805
Algeria,Coal,2003,7.0477796
Algeria,Coal,2004,8.408489
Algeria,Coal,2005,6.9082203
Algeria,Coal,2006,10.25766
Algeria,Coal,2007,8.80391
Algeria,Coal,2008,8.80391
Algeria,Coal,2009,5.65218
Algeria,Coal,2010,3.6053
Algeria,Coal,2011,3.1982498
Algeria,Coal,2012,3.3959599
Algeria,Coal,2013,1.83754
Algeria,Coal,2014,2.08177
Algeria,Coal,2015,1.5467899
Algeria,Coal,2016,0.56987
Algeria,Coal,2017,2.1166599
Algeria,Coal,2018,5.815
Algeria,Coal,2019,4.80319
Algeria,Coal,2020,1.52353
Algeria,Coal,2021,3.10521
Algeria,Coal,2022,1.4969789
Argentina,Coal,2000,7.512647
Argentina,Coal,2001,6.1568522
Argentina,Coal,2002,4.5862966
Argentina,Coal,2003,5.593865
Argentina,Coal,2004,9.519818
Argentina,Coal,2005,10.961645
Argentina,Coal,2006,9.9238205
Argentina,Coal,2007,14.36036
Argentina,Coal,2008,17.516068
Argentina,Coal,2009,9.620937
Argentina,Coal,2010,13.472079
Argentina,Coal,2011,14.618645
Argentina,Coal,2012,13.669181
Argentina,Coal,2013,14.939302
Argentina,Coal,2014,15.891717
Argentina,Coal,2015,15.814129
Argentina,Coal,2016,12.188642
Argentina,Coal,2017,12.525288
Argentina,Coal,2018,13.709147
Argentina,Coal,2019,8.123962
Argentina,Coal,2020,10.015325
Argentina,Coal,2021,14.052401
Argentina,Coal,2022,14.398857
Australia,Coal,2000,591.6619
Australia,Coal,2001,585.69135
Australia,Coal,2002,598.8721
Australia,Coal,2003,616.0213
Australia,Coal,2004,641.92114
Australia,Coal,2005,638.2223
Australia,Coal,2006,655.49884
Australia,Coal,2007,649.8025
Australia,Coal,2008,677.2914
Australia,Coal,2009,654.86127
Australia,Coal,2010,607.3943
Australia,Coal,2011,592.0622
Australia,Coal,2012,554.4683
Australia,Coal,2013,526.2419
Australia,Coal,2014,521.88837
Australia,Coal,2015,540.4112
Australia,Coal,2016,540.06226
Australia,Coal,2017,521.52594
Australia,Coal,2018,508.88223
Australia,Coal,2019,486.3916
Australia,Coal,2020,468.04425
Australia,Coal,2021,452.4409
Australia,Coal,2022,430.7635
Austria,Coal,2000,42.470078
Austria,Coal,2001,43.878994
Austria,Coal,2002,44.579712
Austria,Coal,2003,47.54769
Austria,Coal,2004,46.576305
Austria,Coal,2005,46.730534
Austria,Coal,2006,46.67483
Austria,Coal,2007,45.044926
Austria,Coal,2008,44.524986
Austria,Coal,2009,33.460773
Austria,Coal,2010,39.34366
Austria,Coal,2011,40.411076
Austria,Coal,2012,37.621
Austria,Coal,2013,38.13149
Austria,Coal,2014,35.02138
Austria,Coal,2015,37.999046
Austria,Coal,2016,35.44773
Austria,Coal,2017,36.564552
Austria,Coal,2018,32.28496
Austria,Coal,2019,33.94468
Austria,Coal,2020,29.031853
Austria,Coal,2021,29.934498
Austria,Coal,2022,28.291656
Azerbaijan,Coal,2001,0.03489
Azerbaijan,Coal,2002,0.02326
Azerbaijan,Coal,2003,0.03489
Azerbaijan,Coal,2004,0.010699611
Azerbaijan,Coal,2005,0.037448607
Azerbaijan,Coal,2006,0.037448607
Azerbaijan,Coal,2007,0.05838889
Azerbaijan,Coal,2008,0.045333333
Azerbaijan,Coal,2009,0.04919444
Azerbaijan,Coal,2010,0.048416667
Azerbaijan,Coal,2011,0.042249996
Azerbaijan,Coal,2012,0.043027777
Azerbaijan,Coal,2013,0.03841667
Azerbaijan,Coal,2014,0.023833333
Azerbaijan,Coal,2015,0.034583334
Azerbaijan,Coal,2016,0.013833333
Azerbaijan,Coal,2017,0.011527778
Azerbaijan,Coal,2018,0.008444444
Azerbaijan,Coal,2019,0.007694444
Azerbaijan,Coal,2020,0.004611111
Azerbaijan,Coal,2021,0.001555556
Azerbaijan,Coal,2022,0.001555556
Bangladesh,Coal,2000,3.8364346
Bangladesh,Coal,2001,4.0689416
Bangladesh,Coal,2002,4.2491364
Bangladesh,Coal,2003,4.063126
Bangladesh,Coal,2004,4.0689416
Bangladesh,Coal,2005,8.347995
Bangladesh,Coal,2006,12.68387
Bangladesh,Coal,2007,10.351397
Bangladesh,Coal,2008,10.896065
Bangladesh,Coal,2009,13.614829
Bangladesh,Coal,2010,8.675766
Bangladesh,Coal,2011,12.915542
Bangladesh,Coal,2012,10.657114
Bangladesh,Coal,2013,14.760409
Bangladesh,Coal,2014,9.351047
Bangladesh,Coal,2015,30.63301
Bangladesh,Coal,2016,23.035818
Bangladesh,Coal,2017,25.117134
Bangladesh,Coal,2018,28.568832
Bangladesh,Coal,2019,48.06491
Bangladesh,Coal,2020,52.34683
Bangladesh,Coal,2021,42.310978
Bangladesh,Coal,2022,49.94223
Belarus,Coal,2000,11.571725
Belarus,Coal,2001,8.308523
Belarus,Coal,2002,7.837448
Belarus,Coal,2003,7.3767715
Belarus,Coal,2004,7.225938
Belarus,Coal,2005,7.9798536
Belarus,Coal,2006,7.1446896
Belarus,Coal,2007,8.080224
Belarus,Coal,2008,7.532654
Belarus,Coal,2009,7.1767774
Belarus,Coal,2010,7.5073485
Belarus,Coal,2011,9.018615
Belarus,Coal,2012,9.199352
Belarus,Coal,2013,9.764291
Belarus,Coal,2014,9.686455
Belarus,Coal,2015,8.61383
Belarus,Coal,2016,9.467982
Belarus,Coal,2017,9.7924595
Belarus,Coal,2018,14.68869
Belarus,Coal,2019,15.467899
Belarus,Coal,2020,9.734309
Belarus,Coal,2021,9.8974
Belarus,Coal,2022,10.721621
Belgium,Coal,2000,88.68365
Belgium,Coal,2001,84.474434
Belgium,Coal,2002,72.41641
Belgium,Coal,2003,70.04909
Belgium,Coal,2004,65.15431
Belgium,Coal,2005,59.86575
Belgium,Coal,2006,59.076744
Belgium,Coal,2007,53.98673
Belgium,Coal,2008,53.31606
Belgium,Coal,2009,34.345123
Belgium,Coal,2010,43.6005
Belgium,Coal,2011,41.048958
Belgium,Coal,2012,38.662643
Belgium,Coal,2013,40.907593
Belgium,Coal,2014,39.672768
Belgium,Coal,2015,38.740704
Belgium,Coal,2016,36.819427
Belgium,Coal,2017,36.070084
Belgium,Coal,2018,35.873142
Belgium,Coal,2019,35.961716
Belgium,Coal,2020,27.956694
Belgium,Coal,2021,30.947184
Belgium,Coal,2022,31.991251
Brazil,Coal,2000,151.18149
Brazil,Coal,2001,148.78801
Brazil,Coal,2002,144.01038
Brazil,Coal,2003,149.41873
Brazil,Coal,2004,156.65688
Brazil,Coal,2005,151.0846
Brazil,Coal,2006,148.97397
Brazil,Coal,2007,157.87172
Brazil,Coal,2008,160.13234
Brazil,Coal,2009,129.20715
Brazil,Coal,2010,168.19763
Brazil,Coal,2011,179.673
Brazil,Coal,2012,177.79971
Brazil,Coal,2013,191.64679
Brazil,Coal,2014,203.76967
Brazil,Coal,2015,204.981
Brazil,Coal,2016,185.14966
Brazil,Coal,2017,195.27472
Brazil,Coal,2018,190.97849
Brazil,Coal,2019,179.51239
Brazil,Coal,2020,163.13281
Brazil,Coal,2021,197.9085
Brazil,Coal,2022,162.66177
Bulgaria,Coal,2000,73.19367
Bulgaria,Coal,2001,83.42836
Bulgaria,Coal,2002,76.82982
Bulgaria,Coal,2003,86.018326
Bulgaria,Coal,2004,82.19636
Bulgaria,Coal,2005,80.50993
Bulgaria,Coal,2006,81.74977
