UKPRN,Provider name,Country of provider,Domicile,Level of qualification obtained,Mode of former study,Interim study,Age group,Activity,Academic year,Number
10000571,Bath Spa University,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Employment and further study,2021/22,0
10000712,University College Birmingham,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Employment and further study,2021/22,0
10006840,The University of Birmingham,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Employment and further study,2021/22,5
10006841,The University of Bolton,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Employment and further study,2021/22,0
10007140,Birmingham City University,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Employment and further study,2021/22,0
10007152,University of Bedfordshire,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Employment and further study,2021/22,0
10007759,Aston University,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Employment and further study,2021/22,0
10007760,Birkbeck College,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Employment and further study,2021/22,5
10007811,Bishop Grosseteste University,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Employment and further study,2021/22,0
10007850,The University of Bath,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Employment and further study,2021/22,5
10037544,BIMM University,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Employment and further study,2021/22,0
10000571,Bath Spa University,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Full-time employment,2021/22,0
10000712,University College Birmingham,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Full-time employment,2021/22,5
10006840,The University of Birmingham,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Full-time employment,2021/22,95
10006841,The University of Bolton,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Full-time employment,2021/22,5
10007140,Birmingham City University,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Full-time employment,2021/22,30
10007152,University of Bedfordshire,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Full-time employment,2021/22,20
10007759,Aston University,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Full-time employment,2021/22,5
10007760,Birkbeck College,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Full-time employment,2021/22,10
10007811,Bishop Grosseteste University,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Full-time employment,2021/22,0
10007850,The University of Bath,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Full-time employment,2021/22,65
10037544,BIMM University,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Full-time employment,2021/22,0
