Take Medicine For sleep,Trouble Staying Asleep,Trouble Falling asleep,Wake up Well rested,Sleep Hours
Never,Some Days,Some Days,Some Days,7
Every Day,Never,Never,Most Days,7
Never,Never,Never,Most Days,7
Every Day,Every Day,Every Day,Never,3
Never,Never,Never,Some Days,9
Some Days,Most Days,Never,Most Days,6
Some Days,Most Days,Some Days,Never,6
Never,Most Days,Never,Most Days,7
Never,Some Days,Never,Some Days,8
Never,Never,Never,Most Days,7
Never,Some Days,Some Days,Most Days,7
Never,Never,Never,Every Day,7
Never,Some Days,Some Days,Every Day,8
Never,Some Days,Never,Never,7
Some Days,Some Days,Some Days,Some Days,8
Never,Some Days,Most Days,Most Days,7
Every Day,Every Day,Every Day,Every Day,3
Never,Never,Never,Never,12
Never,Never,Never,Most Days,7
Never,Never,Never,Never,12
Never,Never,Never,Every Day,6
Never,Most Days,Never,Some Days,10
Never,Never,Some Days,Never,7
Never,Some Days,Some Days,Some Days,8
Every Day,Most Days,Every Day,Never,6
Never,Never,Never,Most Days,8
Never,Never,Never,Every Day,8
Never,Never,Never,Some Days,6
Most Days,Never,Most Days,Some Days,6
Never,Some Days,Some Days,Never,8
Never,Never,Never,Most Days,7
Never,Every Day,Some Days,Most Days,8
Never,Never,Never,Every Day,8
Never,Some Days,Never,Some Days,8
Never,Never,Some Days,Every Day,8
Every Day,Some Days,Some Days,Most Days,8
Every Day,Never,Never,Every Day,8
Never,Most Days,Most Days,Most Days,7
Never,Never,Never,Some Days,8
Never,Never,Never,Every Day,7
Some Days,Every Day,Every Day,Never,4
Never,Some Days,Some Days,Most Days,7
Never,Never,Never,Every Day,5
Never,Some Days,Never,Most Days,8
Some Days,Never,Some Days,Most Days,8
Never,Some Days,Some Days,Most Days,7
Never,Never,Most Days,Most Days,7
Never,Never,Never,Some Days,7
Never,Some Days,Never,Most Days,7
Some Days,Some Days,Every Day,Never,7
Never,Some Days,Some Days,Most Days,8
Some Days,Some Days,Some Days,Most Days,8
Some Days,Some Days,Some Days,Some Days,7
Never,Most Days,Most Days,Some Days,8
Some Days,Never,Never,Some Days,7
Never,Never,Some Days,Most Days,7
Never,Some Days,Never,Some Days,6
Never,Never,Never,Most Days,8
Never,Never,Some Days,Most Days,8
Never,Never,Never,Some Days,6
Never,Never,Some Days,Most Days,8
Never,Never,Never,Some Days,10
Never,Some Days,Some Days,Most Days,7
Never,Most Days,Some Days,Most Days,8
Never,Every Day,Never,Some Days,6
Never,Some Days,Some Days,Most Days,6
Every Day,Every Day,Every Day,Never,7
Never,Some Days,Some Days,Every Day,8
Never,Never,Never,Every Day,6
Some Days,Some Days,Some Days,Most Days,6
Some Days,Most Days,Some Days,Some Days,6
Some Days,Some Days,Never,Most Days,8
Never,Most Days,Some Days,Some Days,7
Never,Most Days,Most Days,Some Days,9
Never,Never,Never,Some Days,6
Never,Some Days,Some Days,Some Days,7
Never,Some Days,Some Days,Some Days,6
Never,Some Days,Some Days,Most Days,6
Never,Never,Never,Most Days,8
Never,Never,Never,Some Days,8
Never,Never,Never,Most Days,8
Some Days,Most Days,Some Days,Some Days,7
Never,Never,Never,Every Day,6
