InstagramHandle,Date,Posts,EngagementRate,Engagements
@HarmonyHearts,2022-01,5,2.68,7705376
@HarmonyHearts,2022-03,6,2.24,5100667
@HarmonyHearts,2022-04,15,3.56,7512467
@HarmonyHearts,2022-05,10,2.77,6296424
@HarmonyHearts,2022-06,19,4.96,6980023
@HarmonyHearts,2022-07,6,4.95,5914889
@HarmonyHearts,2022-08,8,4.81,5833839
@HarmonyHearts,2022-09,19,3.53,5842521
@HarmonyHearts,2022-10,,,
@HarmonyHearts,2022-11,20,5.88,6107312
@HarmonyHearts,2022-12,9,4.33,7260711
@HarmonyHearts,2023-01,6,2.19,7860928
@HarmonyHearts,2023-02,7,4.67,5322980
@HarmonyHearts,2023-03,20,3.83,5405474
@HarmonyHearts,2023-04,5,4.33,5051426
@HarmonyHearts,2023-05,12,3.78,7852252
@HarmonyHearts,2023-06,6,3.61,5609725
@HarmonyHearts,2023-07,20,4.48,6397983
@HarmonyHearts,2023-08,18,2.82,5365342
@HarmonyHearts,2023-09,17,4.66,6049744
@HarmonyHearts,2023-10,17,5.18,7612684
@HarmonyHearts,2023-11,11,3.04,6982088
@HarmonyHearts,2023-12,12,4.34,7368478
@EchoLads,2022-01,18,2.8,6949517
@EchoLads,2022-02,19,4.4,6398987
@EchoLads,2022-03,6,2.13,7934370
@EchoLads,2022-04,17,5.01,6853044
@EchoLads,2022-05,11,5.48,5235979
@EchoLads,2022-06,9,4.97,6137254
@EchoLads,2022-07,13,2.96,6671779
@EchoLads,2022-08,15,2.06,5371171
@EchoLads,2022-09,19,4.34,5735949
@EchoLads,2022-10,20,3.13,5480365
@EchoLads,2022-11,9,4.87,6271229
@EchoLads,2022-12,16,3.05,6822996
@EchoLads,2023-01,11,4.23,7719354
@EchoLads,2023-02,9,2.21,7257693
@EchoLads,2023-03,11,5.15,6910033
@EchoLads,2023-04,14,4.34,7653091
@EchoLads,2023-05,8,3.51,7961067
@EchoLads,2023-06,5,3.8,6088633
@EchoLads,2023-07,19,2.49,7327243
@EchoLads,2023-08,19,3.95,6910011
@EchoLads,2023-09,10,2.1,5435247
@EchoLads,2023-10,11,4.63,7955580
@EchoLads,2023-11,14,5.78,7025571
@MelodicMotions,2022-01,19,4.32,7128464
@MelodicMotions,2022-02,7,3.1,7651225
@MelodicMotions,2022-03,17,2.83,5005300
@MelodicMotions,2022-04,5,4.76,6836738
@MelodicMotions,2022-05,6,3.03,7619806
@MelodicMotions,2022-06,9,3.9,5645785
@MelodicMotions,2022-07,19,3.24,5593300
@MelodicMotions,2022-08,12,2.03,7684988
@MelodicMotions,2022-09,15,5.14,6817278
@MelodicMotions,2022-10,6,3.34,5061873
@MelodicMotions,2022-11,13,3.96,6811555
@MelodicMotions,2022-12,14,2.7,6919361
@MelodicMotions,2023-01,14,4.43,6221804
@MelodicMotions,2023-02,12,5.42,5576005
@MelodicMotions,2023-03,,,
@MelodicMotions,2023-04,,,
@MelodicMotions,2023-05,,,
@MelodicMotions,2023-06,15,2.58,6085556
@MelodicMotions,2023-07,15,5.66,6944077
@MelodicMotions,2023-08,15,5.28,7086037
@MelodicMotions,2023-09,17,2.31,6410780
@MelodicMotions,2023-10,6,2.21,7952707
@MelodicMotions,2023-11,13,4.13,7119484
@MelodicMotions,2023-12,8,4.71,5485205
@RhythmicRoses,2022-01,5,3.18,6062431
@RhythmicRoses,2022-02,17,4.85,6081713
@RhythmicRoses,2022-03,17,2.4,7711960
@RhythmicRoses,2022-04,9,2.95,5183521
@RhythmicRoses,2022-05,15,4,7062524
@RhythmicRoses,2022-06,20,2.87,7291291
@RhythmicRoses,2022-07,16,3.81,7300328
@RhythmicRoses,2022-08,5,5.85,5309438
@RhythmicRoses,2022-09,19,3.1,6035920
@RhythmicRoses,2022-10,20,4.32,6763571
@RhythmicRoses,2022-11,18,4.11,5684709
@RhythmicRoses,2022-12,11,5.71,5735126
@RhythmicRoses,2023-01,15,5.81,7300109
@RhythmicRoses,2023-02,18,2.85,5434818
@RhythmicRoses,2023-03,10,4.72,5014386
@RhythmicRoses,2023-04,11,4.62,6321013
@RhythmicRoses,2023-05,13,4.79,5157115
@RhythmicRoses,2023-06,10,3.84,7894451
@RhythmicRoses,2023-07,9,4.07,5348444
@RhythmicRoses,2023-08,12,2.26,5032043
@RhythmicRoses,2023-09,12,3.44,7779821
@RhythmicRoses,2023-10,10,4.83,6882658
@RhythmicRoses,2023-11,10,4.85,5201805
@RhythmicRoses,2023-12,12,2.52,7997267
@VocalVibes,2022-01,17,4.81,6754938
@VocalVibes,2022-02,17,5.21,6489741
@VocalVibes,2022-03,13,3.89,5527783
@VocalVibes,2022-04,8,4.7,7846561
@VocalVibes,2022-05,18,3.74,6493534
@VocalVibes,2022-06,15,5.68,6505450
@VocalVibes,2022-07,16,3.5,5660417
@VocalVibes,2022-08,9,4.34,6632913
@VocalVibes,2022-09,20,2.05,7085845
@VocalVibes,2022-10,7,4.88,7917357
@VocalVibes,2022-11,7,5.36,5766599
@VocalVibes,2022-12,19,3.3,6712418
@VocalVibes,2023-01,17,5.12,7343539
@VocalVibes,2023-02,8,4.29,6951259
@VocalVibes,2023-03,17,4.06,6231899
@VocalVibes,2023-04,17,5.03,6709242
@VocalVibes,2023-05,16,4.78,7520981
@VocalVibes,2023-06,7,2.44,7862075
@VocalVibes,2023-07,12,4.81,5971782
@VocalVibes,2023-08,12,5.3,6899930
@VocalVibes,2023-09,16,2.11,5222407
@VocalVibes,2023-10,15,4.21,5391368
@VocalVibes,2023-11,7,2.78,7579632
@VocalVibes,2023-12,18,3.61,6903278
@TuneTwisters,2022-01,7,2.5,7295211
@TuneTwisters,2022-02,18,3.11,6186373
@TuneTwisters,2022-03,6,3.84,7806363
@TuneTwisters,2022-04,14,2.54,7178304
@TuneTwisters,2022-05,19,5.94,7166686
@TuneTwisters,2022-06,6,2.74,5212990
@TuneTwisters,2022-07,12,2.25,7394876
@TuneTwisters,2022-08,12,4.89,6628561
@TuneTwisters,2022-09,17,2.65,6130673
@TuneTwisters,2022-10,9,4.4,6120581
@TuneTwisters,2022-11,14,3.72,6849275
@TuneTwisters,2022-12,16,2.04,7029581
@TuneTwisters,2023-01,11,5.17,6773933
@TuneTwisters,2023-02,9,3.44,5108685
@TuneTwisters,2023-03,5,5.63,5310075
