CloseDate,Opportunity Name,Amount,Stage,Account.BillingCity,Billing State/Province,Billing Country
2021-10-03,Opp Brazil 1,"$109,997",Closed Won,Propriá,SE,Brazil
2021-04-08,Opp Brazil 2,"$75,983",Closed Won,Aracaju,SE,Brazil
2020-08-06,Opp Brazil 3,"$171,046",Closed Won,Queimada Nova,PI,Brazil
2021-06-24,Opp Brazil 4,"$215,418",Closed Won,Teresina,PI,Brazil
2020-12-12,Opp Brazil 5,"$63,841",Closed Won,Niterói,RJ,Brazil
2021-12-21,Opp Brazil 6,"$46,025",Closed Won,Angra dos Reis,RJ,Brazil
2020-04-03,Opp Brazil 7,"$201,181",Closed Won,Aracruz,ES,Brazil
2020-11-01,Opp Brazil 8,"$169,863",Closed Won,Vitoria,ES,Brazil
2021-04-10,Opp Brazil 9,"$190,939",Closed Won,Ouro Preto,MG,Brazil
2021-08-05,Opp Brazil 10,"$151,712",Closed Won,Belo Horizonte,MG,Brazil
2021-12-03,Opp Brazil 11,"$85,999",Closed Won,Chapecó,SC,Brazil
2021-02-22,Opp Brazil 12,"$170,816",Closed Won,Joinville,SC,Brazil
2021-03-26,Opp Brazil 13,"$67,082",Prospecting,Jundiaí,SP,Brazil
2020-10-03,Opp Brazil 14,"$53,004",Prospecting,São Paulo,SP,Brazil
2020-07-25,Opp Brazil 15,"$303,669",Prospecting,Aracati,CE,Brazil
2021-03-15,Opp Brazil 16,"$64,252",Prospecting,Fortaleza,CE,Brazil
2021-07-19,Opp Brazil 17,"$329,095",Prospecting,Porto Seguro,BA,Brazil
2021-05-03,Opp Brazil 18,"$266,143",Prospecting,Salvador,BA,Brazil
2020-12-20,Opp Brazil 19,"$313,438",Prospecting,Careiro,AM,Brazil
2020-02-18,Opp Brazil 20,"$166,505",Prospecting,Manaus,AM,Brazil
2021-07-09,Opp Brazil 23,"$98,674",Needs Analysis,Propriá,SE,Brazil
2021-11-04,Opp Brazil 24,"$207,478",Needs Analysis,Aracaju,SE,Brazil
2021-09-25,Opp Brazil 25,"$261,304",Needs Analysis,Queimada Nova,PI,Brazil
2020-11-23,Opp Brazil 26,"$133,835",Needs Analysis,Teresina,PI,Brazil
2021-06-04,Opp Brazil 27,"$332,593",Needs Analysis,Niterói,RJ,Brazil
2020-08-24,Opp Brazil 28,"$252,007",Negotiation/Review,Angra dos Reis,RJ,Brazil
2020-12-13,Opp Brazil 29,"$284,695",Negotiation/Review,Aracruz,ES,Brazil
2021-03-12,Opp Brazil 30,"$191,464",Negotiation/Review,Vitoria,ES,Brazil
2020-10-25,Opp Brazil 31,"$206,447",Negotiation/Review,Ouro Preto,MG,Brazil
2020-03-18,Opp Brazil 32,"$189,706",Negotiation/Review,Belo Horizonte,MG,Brazil
2021-09-17,Opp Brazil 33,"$151,642",Negotiation/Review,Chapecó,SC,Brazil
2020-04-01,Opp Brazil 34,"$174,271",Negotiation/Review,Joinville,SC,Brazil
2021-01-17,Opp Brazil 35,"$337,038",Closed Lost,Jundiaí,SP,Brazil
2020-11-10,Opp Brazil 36,"$304,000",Closed Lost,São Paulo,SP,Brazil
2021-11-14,Opp Brazil 37,"$117,399",Closed Lost,Aracati,CE,Brazil
2021-05-02,Opp Brazil 38,"$337,421",Closed Lost,Fortaleza,CE,Brazil
2020-08-08,Opp Brazil 39,"$212,609",Closed Lost,Porto Seguro,BA,Brazil
2021-02-09,Opp Brazil 40,"$342,848",Qualification,Salvador,BA,Brazil
2021-03-10,Opp Brazil 41,"$347,402",Qualification,Careiro,AM,Brazil
2020-04-13,Opp Brazil 42,"$218,826",Qualification,Manaus,AM,Brazil
2021-05-16,Opp 666,"$36,050",Closed Won,Campinas,SP,
2020-05-16,Opp 667,"$51,553",Closed Won,Araraquara,SP,
2020-06-16,Opp 668,"$66,048",Closed Won,Bauru,SP,
2020-02-20,Opp 669,"$57,807",Prospecting,Presidente Prudente,SP,
2021-10-14,Opp 670,"$55,596",Prospecting,Piracicaba,SP,
2020-10-12,Opp 671,"$41,947",Prospecting,Atibaia,SP,
2021-12-10,Opp 672,"$62,522",Prospecting,Santos,SP,
2020-01-11,Opp 673,"$57,387",Prospecting,Itapetininga,SP,
2021-04-14,Opp 674,"$52,461",Needs Analysis,Sorocaba,SP,
2020-08-15,Opp 675,"$54,144",Needs Analysis,Itanhaém,SP,
