Opportunity Name,Amount,Stage,Account Name,Closed
Opportunity 8,"$1,160,060",Closed Won,United Oil & Gas Corp.,true
Opportunity 166,"$1,158,310",Closed Won,University of Arizona,true
Opportunity 164,"$966,560",Closed Won,Grand Hotels & Resorts Ltd,true
Opportunity 4,"$921,810",Closed Won,GenePoint,true
United Oil Refinery Generators,"$915,000",Closed Won,United Oil & Gas Corp.,true
Opportunity 21,"$698,230",Closed Won,GenePoint,true
United Oil Plant Standby Generators,"$675,000",Needs Analysis,United Oil & Gas Corp.,false
University of AZ Portable Generators,"$500,000",Closed Won,University of Arizona,true
Opportunity 140,"$498,860",Closed Won,sForce,true
Opportunity 476,"$490,480",Id. Decision Makers,Burlington Textiles Corp of America,false
Opportunity 147,"$485,160",Closed Won,Burlington Textiles Corp of America,true
United Oil Emergency Generators,"$440,000",Closed Won,United Oil & Gas Corp.,true
Pew Test,"$429,058",Perception Analysis,PewPew,false
Grand Hotels Generator Installations,"$350,000",Closed Won,Grand Hotels & Resorts Ltd,true
Opp Brazil 43,"$308,606",Qualification,Pew Pew 2,false
GenePoint SLA,"$300,000",Closed Won,GenePoint,true
United Oil Installations,"$270,000",Closed Won,United Oil & Gas Corp.,true
United Oil Installations,"$270,000",Negotiation/Review,United Oil & Gas Corp.,false
United Oil Refinery Generators,"$270,000",Proposal/Price Quote,United Oil & Gas Corp.,false
Grand Hotels Guest Portable Generators,"$250,000",Value Proposition,Grand Hotels & Resorts Ltd,false
Burlington Textiles Weaving Plant Generator,"$235,000",Closed Won,Burlington Textiles Corp of America,true
United Oil Installations,"$235,000",Closed Won,United Oil & Gas Corp.,true
Express Logistics Standby Generator,"$220,000",Closed Won,Express Logistics and Transport,true
Opportunity 136,"$211,100",Closed Won,Grand Hotels & Resorts Ltd,true
Grand Hotels Emergency Generators,"$210,000",Closed Won,Grand Hotels & Resorts Ltd,true
Grand Hotels Kitchen Generator,"$150,000",Id. Decision Makers,Grand Hotels & Resorts Ltd,false
Opportunity 374,"$149,892",Proposal/Price Quote,GenePoint,false
Opportunity 449,"$149,839",Prospecting,"United Oil & Gas, Singapore",false
Opportunity 432,"$149,665",Closed Won,GenePoint,true
Opportunity 2,"$149,657",Closed Won,Edge Communications,true
Opportunity 237,"$149,367",Value Proposition,United Oil & Gas Corp.,false
Opportunity 577,"$148,945",Negotiation/Review,GenePoint,false
Opportunity 534,"$148,755",Id. Decision Makers,Grand Hotels & Resorts Ltd,false
Opportunity 669,"$148,173",Closed Lost,Grand Hotels & Resorts Ltd,true
Opportunity 411,"$148,126",Prospecting,"United Oil & Gas, UK",false
Opportunity 425,"$147,636",Prospecting,Pyramid Construction Inc.,false
Opportunity 380,"$147,385",Proposal/Price Quote,"United Oil & Gas, UK",false
Opportunity 309,"$147,316",Proposal/Price Quote,"United Oil & Gas, UK",false
Opportunity 252,"$147,252",Value Proposition,Edge Communications,false
Opportunity 69,"$147,212",Closed Won,Burlington Textiles Corp of America,true
Opportunity 78,"$147,130",Closed Won,"United Oil & Gas, UK",true
Opportunity 225,"$146,923",Value Proposition,Edge Communications,false
Opportunity 329,"$146,837",Proposal/Price Quote,Grand Hotels & Resorts Ltd,false
Opportunity 385,"$146,673",Proposal/Price Quote,Dickenson plc,false
Opportunity 554,"$146,653",Id. Decision Makers,"United Oil & Gas, UK",false
Opportunity 261,"$146,439",Value Proposition,Grand Hotels & Resorts Ltd,false
Opportunity 88,"$146,429",Closed Won,GenePoint,true
Opportunity 659,"$146,365",Negotiation/Review,"United Oil & Gas, Singapore",false
Opportunity 144,"$146,315",Closed Won,"United Oil & Gas, UK",true
Opportunity 95,"$146,277",Closed Won,Burlington Textiles Corp of America,true
Opportunity 559,"$146,222",Id. Decision Makers,Burlington Textiles Corp of America,false
Opportunity 655,"$146,216",Negotiation/Review,United Oil & Gas Corp.,false
Opportunity 308,"$146,186",Proposal/Price Quote,GenePoint,false
Opportunity 465,"$146,102",Prospecting,"United Oil & Gas, UK",false
Opportunity 120,"$145,992",Closed Won,GenePoint,true
Opportunity 297,"$145,752",Proposal/Price Quote,Dickenson plc,false
Opportunity 514,"$145,590",Closed Won,"United Oil & Gas, Singapore",true
Opportunity 167,"$145,585",Closed Won,United Oil & Gas Corp.,true
Opportunity 203,"$145,577",Value Proposition,Edge Communications,false
Opportunity 633,"$145,483",Closed Won,Burlington Textiles Corp of America,true
Opportunity 128,"$145,478",Closed Won,Express Logistics and Transport,true
Opportunity 97,"$144,790",Closed Won,Dickenson plc,true
Opportunity 185,"$144,299",Value Proposition,Edge Communications,false
Opportunity 663,"$144,119",Needs Analysis,"United Oil & Gas, UK",false
Opportunity 296,"$144,068",Proposal/Price Quote,GenePoint,false
Opportunity 248,"$143,954",Value Proposition,Burlington Textiles Corp of America,false
Opportunity 182,"$143,700",Value Proposition,GenePoint,false
Opportunity 64,"$143,567",Closed Won,sForce,true
Opportunity 86,"$143,560",Closed Won,Express Logistics and Transport,true
Opportunity 220,"$143,375",Value Proposition,Edge Communications,false
Opportunity 279,"$143,211",Proposal/Price Quote,GenePoint,false
Opportunity 583,"$142,950",Closed Won,Express Logistics and Transport,true
Opportunity 319,"$141,790",Proposal/Price Quote,sForce,false
Opportunity 12,"$141,588",Closed Won,Express Logistics and Transport,true
Opportunity 481,"$141,510",Id. Decision Makers,University of Arizona,false
Opportunity 122,"$141,408",Closed Won,"United Oil & Gas, Singapore",true
Opportunity 83,"$141,158",Closed Won,Pyramid Construction Inc.,true
Opportunity 198,"$141,098",Value Proposition,Edge Communications,false
Opportunity 257,"$141,079",Closed Won,Edge Communications,true
Opportunity 671,"$140,832",Closed Lost,University of Arizona,true
Opportunity 288,"$140,440",Closed Won,University of Arizona,true
Opportunity 321,"$140,398",Proposal/Price Quote,Burlington Textiles Corp of America,false
Opportunity 564,"$140,350",Id. Decision Makers,Burlington Textiles Corp of America,false
Opportunity 249,"$140,275",Value Proposition,GenePoint,false
Opportunity 45,"$140,137",Closed Won,"United Oil & Gas, Singapore",true
Opportunity 553,"$139,901",Id. Decision Makers,GenePoint,false
Opportunity 84,"$139,733",Closed Won,Dickenson plc,true
Opportunity 703,"$139,315",Needs Analysis,Grand Hotels & Resorts Ltd,false
Opportunity 49,"$139,209",Closed Won,Dickenson plc,true
Opportunity 468,"$138,370",Prospecting,Burlington Textiles Corp of America,false
Opportunity 204,"$138,097",Value Proposition,Burlington Textiles Corp of America,false
Opportunity 282,"$138,093",Proposal/Price Quote,Edge Communications,false
Opportunity 660,"$137,671",Needs Analysis,Edge Communications,false
Opportunity 593,"$137,485",Closed Won,"United Oil & Gas, UK",true
Opportunity 550,"$137,397",Id. Decision Makers,"United Oil & Gas, Singapore",false
Opportunity 37,"$137,120",Closed Won,University of Arizona,true
Opportunity 619,"$136,810",Negotiation/Review,Burlington Textiles Corp of America,false
Opportunity 665,"$136,790",Needs Analysis,Edge Communications,false
Opportunity 489,"$136,788",Id. Decision Makers,GenePoint,false
Opportunity 67,"$136,760",Closed Won,"United Oil & Gas, Singapore",true
Opportunity 585,"$136,602",Negotiation/Review,United Oil & Gas Corp.,false
Opportunity 515,"$135,842",Closed Won,Pyramid Construction Inc.,true
Opportunity 506,"$135,794",Id. Decision Makers,Dickenson plc,false
Opportunity 542,"$135,309",Id. Decision Makers,Dickenson plc,false
Opportunity 409,"$135,135",Prospecting,Burlington Textiles Corp of America,false
Opportunity 43,"$135,049",Closed Won,Edge Communications,true
Opportunity 386,"$134,885",Proposal/Price Quote,Grand Hotels & Resorts Ltd,false
Opportunity 155,"$134,844",Closed Won,Edge Communications,true
Opportunity 674,"$134,729",Closed Won,GenePoint,true
Opportunity 317,"$134,718",Proposal/Price Quote,University of Arizona,false
Opportunity 588,"$134,548",Negotiation/Review,"United Oil & Gas, UK",false
Opportunity 161,"$134,236",Closed Won,Burlington Textiles Corp of America,true
Opportunity 570,"$134,191",Negotiation/Review,Pyramid Construction Inc.,false
Opportunity 153,"$133,918",Closed Won,United Oil & Gas Corp.,true
Opportunity 612,"$133,684",Negotiation/Review,"United Oil & Gas, Singapore",false
Opportunity 70,"$133,132",Closed Won,GenePoint,true
Opportunity 58,"$133,019",Closed Won,"United Oil & Gas, Singapore",true
Opportunity 138,"$132,890",Closed Won,University of Arizona,true
Opportunity 370,"$132,550",Proposal/Price Quote,Express Logistics and Transport,false
Opportunity 683,"$132,430",Closed Won,Burlington Textiles Corp of America,true
Opportunity 668,"$132,351",Needs Analysis,Dickenson plc,false
Opportunity 334,"$132,321",Proposal/Price Quote,GenePoint,false
Opportunity 537,"$132,137",Id. Decision Makers,GenePoint,false
Opportunity 96,"$132,012",Closed Won,Pyramid Construction Inc.,true
Opportunity 73,"$132,001",Closed Won,Edge Communications,true
Opportunity 31,"$131,962",Closed Won,GenePoint,true
Opportunity 180,"$131,561",Value Proposition,sForce,false
Opportunity 369,"$131,511",Proposal/Price Quote,Grand Hotels & Resorts Ltd,false
Opportunity 159,"$131,294",Closed Won,Express Logistics and Transport,true
Opportunity 494,"$131,207",Id. Decision Makers,Pyramid Construction Inc.,false
Opportunity 90,"$131,205",Closed Won,"United Oil & Gas, Singapore",true
Opportunity 356,"$131,097",Proposal/Price Quote,Pyramid Construction Inc.,false
Opportunity 348,"$131,096",Proposal/Price Quote,"United Oil & Gas, Singapore",false
Opportunity 62,"$130,993",Closed Won,Pyramid Construction Inc.,true
Opportunity 68,"$130,510",Closed Won,Edge Communications,true
Opportunity 312,"$130,349",Closed Lost,Burlington Textiles Corp of America,true
Opportunity 80,"$129,653",Closed Won,Edge Communications,true
Opportunity 636,"$129,497",Closed Won,Grand Hotels & Resorts Ltd,true
Opportunity 461,"$129,361",Prospecting,"United Oil & Gas, Singapore",false
Opportunity 320,"$129,306",Proposal/Price Quote,Edge Communications,false
Opportunity 587,"$129,142",Negotiation/Review,GenePoint,false
Opportunity 227,"$128,886",Value Proposition,GenePoint,false
Opportunity 258,"$128,879",Closed Won,Burlington Textiles Corp of America,true
Opportunity 135,"$128,712",Closed Won,Edge Communications,true
Opportunity 126,"$128,650",Closed Won,Dickenson plc,true
Opportunity 572,"$128,377",Negotiation/Review,Grand Hotels & Resorts Ltd,false
Opportunity 364,"$128,327",Proposal/Price Quote,"United Oil & Gas, UK",false
Opportunity 158,"$128,269",Closed Won,Grand Hotels & Resorts Ltd,true
Opportunity 567,"$128,222",Id. Decision Makers,"United Oil & Gas, Singapore",false
Opportunity 673,"$128,033",Closed Lost,sForce,true
Opportunity 265,"$127,922",Value Proposition,sForce,false
Opportunity 85,"$127,606",Closed Won,Grand Hotels & Resorts Ltd,true
Opportunity 699,"$127,566",Needs Analysis,Edge Communications,false
Opportunity 111,"$127,448",Closed Won,Express Logistics and Transport,true
Opportunity 566,"$127,430",Id. Decision Makers,"United Oil & Gas, UK",false
Opportunity 418,"$127,267",Prospecting,Express Logistics and Transport,false
Opportunity 624,"$127,171",Closed Lost,GenePoint,true
Opportunity 142,"$126,862",Closed Won,"United Oil & Gas, UK",true
Opportunity 344,"$126,680",Proposal/Price Quote,United Oil & Gas Corp.,false
Opportunity 645,"$126,537",Closed Lost,GenePoint,true
Opportunity 547,"$126,294",Id. Decision Makers,sForce,false
Opportunity 333,"$126,177",Proposal/Price Quote,sForce,false
Opportunity 106,"$125,993",Closed Lost,Edge Communications,true
Opportunity 286,"$125,901",Closed Won,Grand Hotels & Resorts Ltd,true
Opportunity 539,"$125,368",Id. Decision Makers,Edge Communications,false
Opportunity 358,"$125,061",Proposal/Price Quote,Grand Hotels & Resorts Ltd,false
United Oil Office Portable Generators,"$125,000",Negotiation/Review,United Oil & Gas Corp.,false
Opportunity 42,"$124,734",Closed Won,"United Oil & Gas, Singapore",true
Opportunity 146,"$124,400",Closed Won,Edge Communications,true
Opportunity 434,"$124,377",Closed Won,"United Oil & Gas, Singapore",true
Opportunity 396,"$124,226",Prospecting,Edge Communications,false
Opportunity 690,"$124,206",Closed Won,sForce,true
Opportunity 165,"$124,163",Closed Won,Express Logistics and Transport,true
Opportunity 228,"$124,091",Closed Won,"United Oil & Gas, UK",true
Opportunity 361,"$124,048",Proposal/Price Quote,United Oil & Gas Corp.,false
Opportunity 14,"$123,928",Closed Won,GenePoint,true
Opportunity 429,"$123,621",Closed Won,University of Arizona,true
Opportunity 137,"$123,603",Closed Won,Express Logistics and Transport,true
Opportunity 672,"$123,439",Closed Won,United Oil & Gas Corp.,true
Opportunity 495,"$123,400",Id. Decision Makers,GenePoint,false
Opportunity 431,"$123,298",Closed Won,sForce,true
Opportunity 472,"$123,241",Prospecting,Express Logistics and Transport,false
Opportunity 283,"$123,028",Proposal/Price Quote,Burlington Textiles Corp of America,false
Opportunity 705,"$122,382",Needs Analysis,University of Arizona,false
Opportunity 561,"$122,183",Id. Decision Makers,"United Oil & Gas, UK",false
Opportunity 485,"$122,179",Id. Decision Makers,"United Oil & Gas, UK",false
Opportunity 545,"$121,879",Id. Decision Makers,University of Arizona,false
Opportunity 424,"$121,308",Prospecting,"United Oil & Gas, Singapore",false
Opportunity 706,"$121,293",Needs Analysis,United Oil & Gas Corp.,false
Opportunity 199,"$121,161",Value Proposition,Burlington Textiles Corp of America,false
Opportunity 339,"$121,116",Proposal/Price Quote,GenePoint,false
Opportunity 463,"$121,035",Prospecting,Burlington Textiles Corp of America,false
Opportunity 488,"$120,790",Id. Decision Makers,Burlington Textiles Corp of America,false
Opportunity 548,"$120,313",Id. Decision Makers,GenePoint,false
Opportunity 91,"$120,076",Closed Won,"United Oil & Gas, UK",true
Opportunity 347,"$120,004",Proposal/Price Quote,"United Oil & Gas, UK",false
Express Logistics SLA,"$120,000",Perception Analysis,Express Logistics and Transport,false
United Oil SLA,"$120,000",Closed Won,United Oil & Gas Corp.,true
United Oil Standby Generators,"$120,000",Closed Won,United Oil & Gas Corp.,true
Opportunity 200,"$119,697",Value Proposition,GenePoint,false
Opportunity 529,"$119,180",Closed Won,"United Oil & Gas, Singapore",true
Opportunity 565,"$119,172",Id. Decision Makers,GenePoint,false
Opportunity 404,"$118,404",Prospecting,sForce,false
Opportunity 202,"$118,365",Value Proposition,"United Oil & Gas, Singapore",false
Opportunity 271,"$118,365",Proposal/Price Quote,GenePoint,false
Opportunity 436,"$118,344",Closed Won,Burlington Textiles Corp of America,true
Opportunity 177,"$118,000",Value Proposition,Burlington Textiles Corp of America,false
Opportunity 290,"$117,933",Closed Won,sForce,true
Opportunity 201,"$117,614",Value Proposition,"United Oil & Gas, UK",false
Opportunity 9,"$117,372",Closed Won,Burlington Textiles Corp of America,true
Opportunity 331,"$117,271",Proposal/Price Quote,University of Arizona,false
Opportunity 18,"$117,220",Closed Won,sForce,true
Opportunity 689,"$117,128",Closed Won,United Oil & Gas Corp.,true
Opportunity 101,"$116,941",Closed Lost,"United Oil & Gas, UK",true
Opportunity 149,"$116,865",Closed Won,Dickenson plc,true
Opportunity 139,"$116,536",Closed Won,United Oil & Gas Corp.,true
Opportunity 186,"$116,513",Value Proposition,Burlington Textiles Corp of America,false
Opportunity 367,"$116,461",Proposal/Price Quote,Pyramid Construction Inc.,false
Opportunity 117,"$116,439",Closed Won,"United Oil & Gas, Singapore",true
Opportunity 685,"$115,919",Needs Analysis,Dickenson plc,false
Opportunity 453,"$115,422",Prospecting,Dickenson plc,false
Opportunity 13,"$115,220",Closed Won,United Oil & Gas Corp.,true
Opportunity 406,"$114,708",Prospecting,"United Oil & Gas, UK",false
Opportunity 557,"$114,496",Id. Decision Makers,"United Oil & Gas, Singapore",false
Opportunity 521,"$114,320",Closed Won,sForce,true
Opp Brazil 21,"$114,014",Needs Analysis,Pew Pew 2,false
Opportunity 289,"$113,951",Closed Won,United Oil & Gas Corp.,true
Opportunity 686,"$113,867",Needs Analysis,Grand Hotels & Resorts Ltd,false
Opportunity 524,"$113,792",Closed Won,"United Oil & Gas, Singapore",true
Opportunity 311,"$113,783",Proposal/Price Quote,Edge Communications,false
Opportunity 387,"$113,759",Proposal/Price Quote,Express Logistics and Transport,false
Opportunity 649,"$113,548",Closed Won,Burlington Textiles Corp of America,true
Opp Brazil 22,"$113,408",Needs Analysis,PewPew,false
Opportunity 603,"$113,110",Negotiation/Review,Burlington Textiles Corp of America,false
Opportunity 647,"$112,715",Closed Won,"United Oil & Gas, Singapore",true
Opportunity 363,"$112,654",Proposal/Price Quote,GenePoint,false
