Year,ID,Value
1895,A1,0.910312219173648
1896,A2,0.150376387289725
1897,A3,0.270375996013172
1898,A4,0.818859007558785
1899,A5,0.0938333052909002
1900,A6,0.415432297973894
1901,A7,0.679381888010539
1902,A8,0.812442040420137
1903,A9,0.636950498796068
1904,A10,0.402566403965466
1905,A11,0.0402322668815032
1906,A12,0.581269023357891
1907,A13,0.679577189846896
1908,A14,0.315946361632086
1909,A15,0.462881683721207
1910,A16,0.62079046072904
1911,A17,0.191191835911013
1912,A18,0.526315426803194
1913,A19,0.81215645710472
1914,A20,0.960490860394202
1915,A21,0.528539296821691
1916,A22,0.250157919130288
1917,A23,0.869327308028005
1918,A24,0.667344429413788
1919,A25,0.385529453284107
1920,A26,0.685993485269137
1921,A27,0.194194994051941
1922,A28,0.899469089810737
1923,A29,0.802296151057817
1924,A30,0.189230968127958
1925,A31,0.320381039869972
1926,A32,0.011867007589899
1927,A33,0.465771449613385
1928,A34,0.544074201607145
1929,A35,0.650831272243522
1930,A36,0.481440064613707
1931,A37,0.370613150647841
1932,A38,0.599687098176219
1933,A39,0.294370163115673
1934,A40,0.0740507637383416
1935,A41,0.953856160049327
1936,A42,0.690580707858317
1937,A43,0.77458610443864
1938,A44,0.286998293246143
1939,A45,0.557352601899765
1940,A46,0.551766264601611
1941,A47,0.78505627985578
1942,A48,0.459539511823095
1943,A49,0.71155624918174
1944,A50,0.871351216570474
1945,A51,0.588824394741096
1946,A52,0.65090935130138
1947,A53,0.443058970267884
1948,A54,0.86347607744392
1949,A55,0.146478466340341
1950,A56,0.266379366978072
1951,A57,0.176292013260536
1952,A58,0.423404325381853
1953,A59,0.663954710937105
1954,A60,0.357845294638537
1955,A61,0.0539779913378879
1956,A62,0.591830372228287
1957,A63,0.12903531093616
1958,A64,0.315356981358491
1959,A65,0.920049934531562
1960,A66,0.458547785994597
1961,A67,0.0976227544015274
1962,A68,0.530969116720371
1963,A69,0.972274883766659
1964,A70,0.209781979559921
1965,A71,0.299288114416413
1966,A72,0.620467423577793
1967,A73,0.00460099882911891
1968,A74,0.150016441126354
1969,A75,0.464196911663748
1970,A76,0.731231970130466
1971,A77,0.132573867333122
1972,A78,0.343302709166892
1973,A79,0.477304332773201
1974,A80,0.472520775045268
1975,A81,0.765684959362261
1976,A82,0.428977277944796
1977,A83,0.235338228638284
1978,A84,0.00782931747380644
1979,A85,0.341158993192948
1980,A86,0.0882315704366192
1981,A87,0.149163072113879
1982,A88,0.269591992604546
1983,A89,0.224366542533971
1984,A90,0.444121918990277
1985,A91,0.0897850083420053
1986,A92,0.677783428574912
1987,A93,0.769819112843834
1988,A94,0.608939320896752
1989,A95,0.900715841795318
1990,A96,0.901760384091176
1991,A97,0.0279020498273894
1992,A98,0.447959824581631
1993,A99,0.102933148969896
1994,A100,0.597195784910582
1995,A101,0.498296903097071
1996,A102,0.798695424455218
1997,A103,0.630882966215722
1998,A104,0.0112634307006374
1999,A105,0.968081066501327
2000,A106,0.616574545972981
2001,A107,0.258736067567952
