County,Population,Year
APPLING,1000 - 2500,1880
BAKER,5000 - 10000,1880
BALDWIN,5000 - 10000,1880
BANKS,1000 - 2500,1880
BARTOW,5000 - 10000,1880
BERRIEN,> 1000,1880
BIBB,15000 - 20000,1880
BROOKS,5000 - 10000,1880
BRYAN,2500 - 5000,1880
BULLOCH,1000 - 2500,1880
BURKE,20000 - 30000,1880
BUTTS,2500 - 5000,1880
CALHOUN,2500 - 5000,1880
CAMDEN,2500 - 5000,1880
CAMPBELL,2500 - 5000,1880
CARROLL,1000 - 2500,1880
CATOOSA,> 1000,1880
CHARLTON,> 1000,1880
CHATHAM,20000 - 30000,1880
CHATTAHOOCHEE,2500 - 5000,1880
CHATTOOGA,1000 - 2500,1880
CHEROKEE,1000 - 2500,1880
CLARKE,5000 - 10000,1880
CLAY,2500 - 5000,1880
CLAYTON,2500 - 5000,1880
CLINCH,> 1000,1880
COBB,5000 - 10000,1880
COFFEE,1000 - 2500,1880
COLQUITT,> 1000,1880
COLUMBIA,5000 - 10000,1880
COWETA,10000 - 15000,1880
CRAWFORD,2500 - 5000,1880
DADE,1000 - 2500,1880
DAWSON,> 1000,1880
DECATUR,10000 - 15000,1880
DEKALB,2500 - 5000,1880
DODGE,1000 - 2500,1880
DOOLY,5000 - 10000,1880
DOUGHERTY,10000 - 15000,1880
DOUGLAS,1000 - 2500,1880
EARLY,2500 - 5000,1880
ECHOLS,> 1000,1880
EFFINGHAM,2500 - 5000,1880
ELBERT,5000 - 10000,1880
EMANUEL,2500 - 5000,1880
FANNIN,> 1000,1880
FAYETTE,2500 - 5000,1880
FLOYD,5000 - 10000,1880
FORSYTH,1000 - 2500,1880
FRANKLIN,2500 - 5000,1880
FULTON,20000 - 30000,1880
GILMER,> 1000,1880
GLASCOCK,1000 - 2500,1880
GLYNN,2500 - 5000,1880
GORDON,1000 - 2500,1880
GREENE,10000 - 15000,1880
GWINNETT,2500 - 5000,1880
HABERSHAM,1000 - 2500,1880
HALL,1000 - 2500,1880
HANCOCK,10000 - 15000,1880
HARALSON,> 1000,1880
HARRIS,5000 - 10000,1880
HART,2500 - 5000,1880
HEARD,2500 - 5000,1880
HENRY,5000 - 10000,1880
HOUSTON,15000 - 20000,1880
IRWIN,> 1000,1880
JACKSON,5000 - 10000,1880
JASPER,5000 - 10000,1880
JEFFERSON,10000 - 15000,1880
JOHNSON,1000 - 2500,1880
JONES,5000 - 10000,1880
LAURENS,2500 - 5000,1880
LEE,5000 - 10000,1880
LIBERTY,5000 - 10000,1880
LINCOLN,2500 - 5000,1880
LOWNDES,5000 - 10000,1880
LUMPKIN,> 1000,1880
MACON,5000 - 10000,1880
MADISON,2500 - 5000,1880
MARION,2500 - 5000,1880
McDUFFIE,5000 - 10000,1880
McINTOSH,2500 - 5000,1880
MERIWETHER,5000 - 10000,1880
MILLER,1000 - 2500,1880
MILTON,> 1000,1880
MITCHELL,5000 - 10000,1880
MONROE,10000 - 15000,1880
MONTGOMERY,1000 - 2500,1880
MORGAN,5000 - 10000,1880
MURRAY,> 1000,1880
MUSCOGEE,10000 - 15000,1880
NEWTON,5000 - 10000,1880
OCONEE,2500 - 5000,1880
OGLETHORPE,5000 - 10000,1880
PAULDING,> 1000,1880
PICKENS,> 1000,1880
PIERCE,1000 - 2500,1880
PIKE,5000 - 10000,1880
POLK,2500 - 5000,1880
PULASKI,5000 - 10000,1880
PUTNAM,10000 - 15000,1880
QUITMAN,2500 - 5000,1880
RABUN,> 1000,1880
RANDOLPH,5000 - 10000,1880
RICHMOND,15000 - 20000,1880
ROCKDALE,2500 - 5000,1880
SCHLEY,2500 - 5000,1880
SCREVEN,5000 - 10000,1880
SPALDING,5000 - 10000,1880
STEWART,5000 - 10000,1880
