DATE;Price Index Chocolate
2020-12-31;101,58
2021-01-31;101,65
2021-02-28;101,81
2021-03-31;102,44
2021-04-30;103,01
2021-05-31;102,69
2021-06-30;102,93
2021-07-31;103,31
2021-08-31;102,72
2021-09-30;102,47
2021-10-31;102,53
2021-11-30;102,21
2021-12-31;102,41
2022-01-31;103,29
2022-02-28;103,03
2022-03-31;103,64
2022-04-30;103,34
2022-05-31;104,85
2022-06-30;105,57
2022-07-31;106,5
2022-08-31;108,2
2022-09-30;109,13
2022-10-31;110,32
2022-11-30;110
2022-12-31;110,79
2023-01-31;112,46
2023-02-28;113,65
2023-03-31;116,68
2023-04-30;117,83
2023-05-31;118,66
2023-06-30;120,06
2023-07-31;120,61
2023-08-31;121
2023-09-30;120,63
2023-10-31;121,24
2023-11-30;121,03
2023-12-31;120,8
2024-01-31;122,22
2024-02-29;122,38
2024-03-31;124,45
2024-04-30;125,87
2024-05-31;126,59
2024-06-30;128,33
2024-07-31;129,61
2024-08-31;131,42
2024-09-30;132,56
2024-10-31;133,95
2024-11-30;134,58
2024-12-31;134,57
2025-01-31;137,18
