⚫ Price Index  2015,🟣 Price Index 2020 ,🔵 Price Index 2025,Country
98.57,102.31,187.37,Hungary
100.24,114.72,183.12,Lithuania
99.17,111.11,175.07,Latvia
102,116.3,174.4,Czech Republic
98.26,109.42,173.28,Bulgaria
98.5,110.5,172.7,Poland
99.14,103.46,168.43,Montenegro
97.78,103.14,158.53,Sweden
95.9,105.9,148,Denmark
97,104.2,147.8,Germany
97.73,103.96,147.78,Netherlands
94.61,101.23,142.07,Greece
99.68,105.88,139.92,Belgium
99.9,98.81,139.55,Portugal
96.51,104.46,135.68,Austria
98.85,106.7,135.13,Luxembourg
98.66,104.12,134.23,France
98.9,105.2,117,Italy
