index,collision id,borough,contributing factor vehicle 1,crash date,crash time,location,vehicle type code 1,vehicle type code 2,number of motorist injured,number of persons killed,zip code,contributing factor vehicle 2,contributing factor vehicle 4,cross street name,vehicle type code 3
0,QUEENS,Failure to Yield Right-of-Way,1/7/2025,1899-12-30 11:51:00,"(40.779884, -73.80321)",Sedan,,0,0,11357,,,WILLETS POINT BOULEVARD,,
1,QUEENS,Unspecified,12/30/2024,1899-12-30 12:30:00,"(40.73002, -73.82347)",Bike,,0,0,11367,,,MAIN ST,,
2,MANHATTAN,Unspecified,12/29/2024,1899-12-30 06:02:00,"(40.719864, -73.9917)",Station Wagon/Sport Utility Vehicle,Sedan,0,0,10002,,,,,
3,,Turning Improperly,12/29/2024,1899-12-30 20:00:00,"(40.729515, -73.87149)",Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,0,0,,Unspecified,,ELIOT AVE,,
4,,Driver Inattention/Distraction,12/29/2024,1899-12-30 22:10:00,"(40.605522, -74.18429)",Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,3,0,,Unspecified,,,,
5,,Pavement Slippery,12/29/2024,1899-12-30 03:04:00,"(40.738842, -73.81404)",Convertible,,0,0,,,,,,
6,BRONX,Unspecified,12/29/2024,1899-12-30 17:28:00,"(40.834736, -73.82151)",Station Wagon/Sport Utility Vehicle,Sedan,2,0,10465,Unspecified,,THROGMORTON AVE,,
7,BROOKLYN,Driver Inattention/Distraction,12/29/2024,1899-12-30 16:55:00,"(40.673702, -74.00443)",Sedan,Sedan,0,0,11231,Unspecified,,HENRY ST,,
8,BROOKLYN,Driver Inattention/Distraction,12/29/2024,1899-12-30 13:35:00,"(40.61255, -73.96286)",Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,0,0,11230,Unspecified,,AVENUE O,,
9,QUEENS,Unspecified,12/29/2024,1899-12-30 03:27:00,"(40.72319, -73.73784)",Sedan,Sedan,0,0,11428,Unspecified,,,,
10,QUEENS,Unspecified,12/29/2024,1899-12-30 02:00:00,"(40.7433, -73.86749)",Sedan,Sedan,0,0,11368,Unspecified,,ALSTYNE AVE,,
11,,Driver Inattention/Distraction,12/29/2024,1899-12-30 22:00:00,"(40.640224, -74.136665)",Sedan,Station Wagon/Sport Utility Vehicle,0,0,,Unspecified,,SHARPE AVE,,
12,BROOKLYN,Driver Inattention/Distraction,12/29/2024,1899-12-30 11:55:00,"(40.701527, -73.98675)",Station Wagon/Sport Utility Vehicle,Box Truck,0,0,11201,Unspecified,,YORK ST,,
13,QUEENS,Passing Too Closely,12/29/2024,1899-12-30 03:20:00,"(40.74216, -73.80443)",Taxi,Sedan,1,0,11365,Unspecified,,BOOTH MEMORIAL AVE,,
14,QUEENS,Unspecified,12/29/2024,1899-12-30 08:00:00,"(0.0, 0.0)",Sedan,Sedan,0,0,11418,Unspecified,,,,
15,MANHATTAN,Passing Too Closely,12/29/2024,1899-12-30 16:09:00,"(40.757908, -73.989296)",Sedan,Sedan,0,0,10036,Passing or Lane Usage Improper,,8 AVE,,
16,,Driver Inattention/Distraction,12/29/2024,1899-12-30 18:45:00,"(40.675323, -73.86331)",Sedan,Sedan,0,0,,Unspecified,,FORBELL ST,,
17,QUEENS,Passing or Lane Usage Improper,12/29/2024,1899-12-30 17:25:00,"(40.757133, -73.870415)",Station Wagon/Sport Utility Vehicle,Moped,2,0,11368,Unspecified,,98 ST,,
18,QUEENS,Driver Inattention/Distraction,12/29/2024,1899-12-30 08:00:00,"(40.685444, -73.82678)",Station Wagon/Sport Utility Vehicle,,0,0,11419,Unspecified,,,,
19,BROOKLYN,Alcohol Involvement,12/29/2024,1899-12-30 00:01:00,"(40.696053, -73.985085)",Sedan,Sedan,0,0,11201,Unspecified,,BRIDGE ST,,
20,QUEENS,Unspecified,12/29/2024,1899-12-30 19:00:00,"(40.755936, -73.94033)",Sedan,,0,0,11101,,,,,
21,QUEENS,Driver Inattention/Distraction,12/29/2024,1899-12-30 02:00:00,"(40.74605, -73.92015)",Station Wagon/Sport Utility Vehicle,,0,0,11104,Unspecified,,,,
22,QUEENS,Brakes Defective,12/29/2024,1899-12-30 11:52:00,"(40.73535, -73.783745)",Sedan,Sedan,1,0,11365,Unspecified,,188 ST,,
23,BROOKLYN,Unspecified,12/29/2024,1899-12-30 12:35:00,"(40.611835, -73.996735)",Station Wagon/Sport Utility Vehicle,,0,0,11214,,,,,
24,MANHATTAN,Unspecified,12/29/2024,1899-12-30 17:40:00,"(40.81339, -73.95626)",Station Wagon/Sport Utility Vehicle,Taxi,0,0,10027,,,W 125 ST,,
25,QUEENS,Unsafe Speed,12/29/2024,1899-12-30 12:00:00,"(40.704388, -73.88862)",Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,0,0,11385,Unspecified,,70 AVE,,
26,,Driver Inattention/Distraction,12/29/2024,1899-12-30 23:51:00,"(40.71427, -73.974945)",Pick-up Truck,,2,0,,,,,,
27,MANHATTAN,Unsafe Speed,12/29/2024,1899-12-30 02:44:00,"(40.856716, -73.93263)",Sedan,Station Wagon/Sport Utility Vehicle,1,0,10040,Unspecified,Unspecified,FAIRVIEW AVE,Station Wagon/Sport Utility Vehicle,
28,,Pavement Slippery,12/29/2024,1899-12-30 05:12:00,"(40.58489, -73.92885)",Station Wagon/Sport Utility Vehicle,Sedan,1,0,,Unspecified,,,,
29,STATEN ISLAND,Driver Inattention/Distraction,12/29/2024,1899-12-30 02:20:00,"(40.62359, -74.08277)",Station Wagon/Sport Utility Vehicle,,0,0,10304,,,GORDON ST,,
30,BROOKLYN,Driver Inattention/Distraction,12/29/2024,1899-12-30 14:56:00,"(40.6336, -74.021545)",Sedan,Station Wagon/Sport Utility Vehicle,0,0,11220,Unspecified,,,,
31,,Other Vehicular,12/29/2024,1899-12-30 16:35:00,"(40.81423, -73.93444)",Sedan,Pick-up Truck,1,0,,Other Vehicular,,,Sedan,
32,BROOKLYN,Alcohol Involvement,12/29/2024,1899-12-30 05:55:00,,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,0,0,11216,Unspecified,,NOSTRAND AVE,,
