Entity,Code,Year,Share of people who are happy (Eurobarometer 2017)
France,FRA,1999,79.965088
France,FRA,2000,80.218231
France,FRA,2001,79.117058
France,FRA,2002,78.588196
France,FRA,2003,75.386024
France,FRA,2004,82.041214
France,FRA,2005,82.482269
France,FRA,2006,84.999954
France,FRA,2007,83.430138
France,FRA,2008,79.114532
France,FRA,2009,83.526009
France,FRA,2010,82.972595
France,FRA,2011,80.04953
France,FRA,2012,85.104271
France,FRA,2013,83.382339
France,FRA,2014,84.215401
France,FRA,2015,85.502945
France,FRA,2016,84.065941
Germany,DEU,1999,81.717453
Germany,DEU,2000,75.939133
Germany,DEU,2001,82.316925
Germany,DEU,2002,79.845215
Germany,DEU,2003,73.018333
Germany,DEU,2004,84.002594
Germany,DEU,2005,81.052109
Germany,DEU,2006,81.51432
Germany,DEU,2007,84.544395
Germany,DEU,2008,83.396172
Germany,DEU,2009,84.231277
Germany,DEU,2010,85.669914
Germany,DEU,2011,87.890793
Germany,DEU,2012,89.07325
Germany,DEU,2013,89.052521
Germany,DEU,2014,90.339699
Germany,DEU,2015,91.683266
Germany,DEU,2016,90.324211
Italy,ITA,1999,77.095055
Italy,ITA,2000,74.110626
Italy,ITA,2001,79.965103
Italy,ITA,2002,80.091362
Italy,ITA,2003,76.018387
Italy,ITA,2004,75.784317
Italy,ITA,2005,74.702217
Italy,ITA,2006,76.183067
Italy,ITA,2007,72.725143
Italy,ITA,2008,63.697388
Italy,ITA,2009,70.077225
Italy,ITA,2010,71.141563
Italy,ITA,2011,69.031273
Italy,ITA,2012,59.234982
Italy,ITA,2013,57.187153
Italy,ITA,2014,65.72155
Italy,ITA,2015,64.64093
Italy,ITA,2016,65.210258
Spain,ESP,1999,83.469048
Spain,ESP,2000,81.940857
Spain,ESP,2001,84.595192
Spain,ESP,2002,82.366989
Spain,ESP,2003,83.174561
Spain,ESP,2004,86.510262
Spain,ESP,2005,84.638306
Spain,ESP,2006,88.989334
Spain,ESP,2007,87.099998
Spain,ESP,2008,83.95237
Spain,ESP,2009,75.249496
Spain,ESP,2010,76.779137
Spain,ESP,2011,74.559738
Spain,ESP,2012,71.769379
Spain,ESP,2013,69.528877
Spain,ESP,2014,72.686211
Spain,ESP,2015,77.145706
Spain,ESP,2016,78.128365
United Kingdom,GBR,1999,83.133133
United Kingdom,GBR,2000,86.877144
United Kingdom,GBR,2001,87.912628
United Kingdom,GBR,2002,86.800369
United Kingdom,GBR,2003,87.450302
United Kingdom,GBR,2004,90.458015
United Kingdom,GBR,2005,88.497421
United Kingdom,GBR,2006,88.208237
United Kingdom,GBR,2007,89.456947
United Kingdom,GBR,2008,86.83548
United Kingdom,GBR,2009,88.905319
United Kingdom,GBR,2010,90.091301
United Kingdom,GBR,2011,89.510559
United Kingdom,GBR,2012,91.145721
United Kingdom,GBR,2013,89.813713
United Kingdom,GBR,2014,93.073212
United Kingdom,GBR,2015,92.553238
United Kingdom,GBR,2016,93.058792
