Date,Department,Product Name,Page Views,Adds to Cart,Purchases,Number of Products Purchased
2025-01-01,"Home & Garden","Throw Pillow",2968,2374,511,1533
2025-01-01,"Books","Business Book",1900,1724,254,508
2025-01-01,"Beauty","Hair Dryer",4987,3574,2534,7602
2025-01-01,"Home & Garden","16oz Cutting Board",346,197,132,132
2025-01-01,"Home & Garden","Table Lamp",3309,724,276,828
2025-01-01,"Beauty","Body Lotion",1688,1529,568,568
2025-01-01,"Home & Garden","Utensil Set",3551,3315,296,296
2025-01-01,"Beauty","StyleHub Face Moisturizer",316,294,152,152
2025-01-01,"Home & Garden","Small Storage Basket",6210,3974,332,664
2025-01-01,"Beauty","Makeup Brush Set",10046,8027,1344,4032
2025-01-01,"Home & Garden","XL Utensil Set",8149,7308,3862,3862
2025-01-01,"Home & Garden","Coffee Maker",6899,4738,1059,2118
2025-01-01,"Beauty","ClassicWear Foundation",9776,5039,3213,3213
2025-01-01,"Clothing","Sneakers",1678,253,192,384
2025-01-01,"Beauty","Mascara",4014,796,597,1194
2025-01-01,"Electronics","Screen Protector",55,48,5,5
2025-01-01,"Electronics","XL HDMI Cable",9483,6963,1843,3686
2025-01-01,"Sports & Fitness","Gym Bag",4164,3618,336,336
2025-01-01,"Books","XL Magazine Subscription",1297,1075,612,1836
2025-01-01,"Electronics","HDMI Cable",1249,467,71,213
2025-01-01,"Sports & Fitness","Premium Resistance Bands",1427,652,541,541
2025-01-01,"Electronics","SmartChoice Smart Watch",1937,982,455,455
2025-01-01,"Home & Garden","Curtains",9535,2550,472,472
2025-01-01,"Books","Science Fiction",3621,1385,414,414
2025-01-01,"Home & Garden","Wall Art",3428,1338,996,1992
2025-01-01,"Sports & Fitness","Resistance Bands",5713,5201,849,849
2025-01-01,"Home & Garden","Area Rug",2210,364,260,780
2025-01-01,"Books","Magazine Subscription",3160,2929,935,2805
2025-01-01,"Books","Textbook",2894,2029,880,2640
2025-01-01,"Books","ModernLiving Poetry Collection",8067,5745,1285,1285
2025-01-01,"Sports & Fitness","ClassicWear Swimming Goggles",6874,3363,916,1832
2025-01-01,"Electronics","Bluetooth Speaker",1553,326,153,306
2025-01-01,"Beauty","Eye Shadow Palette",2084,1241,379,1137
2025-01-01,"Sports & Fitness","Dumbbell Set",363,124,28,28
