Object ID,Address,Storename,Latitude,Longitude,Zipcode
641,7828 GEORGIA AVENUE NW,Target,38.984455,-77.026981,20012
642,7719 GEORGIA AVENUE NW,International Progresso Market,38.983464,-77.026066,20012
643,6404 GEORGIA AVENUE NW,Jocelyn’s Market,38.967771,-77.027798,20012
644,5626 CONNECTICUT AVENUE NW,Magruder's,38.965553,-77.076459,20015
645,5545 CONNECTICUT AVENUE NW,Safeway,38.964601,-77.07491,20015
646,5929 GEORGIA AVENUE NW,Walmart Supercenter,38.962078,-77.027285,20011
647,310 RIGGS ROAD NE,Walmart Supercenter,38.957977,-77.002144,20011
648,607 KENNEDY STREET NW,Tropimart International Foods,38.956604,-77.021318,20011
649,5100 WISCONSIN AVENUE NW,Rodman’s,38.956303,-77.083861,20016
650,5010 1ST STREET NW,Avenue Supermarket,38.951358,-77.012393,20011
651,4530 40TH STREET NW,Whole Foods Market,38.949109,-77.079215,20016
652,4500 WISCONSIN AVENUE NW,Target,38.948537,-77.080552,20016
653,4845 MASSACHUSETTS AVENUE NW,Wagshal’s Market,38.945722,-77.095759,20016
654,4303 CONNECTICUT AVENUE NW,Giant,38.944507,-77.063173,20008
655,4100 GEORGIA AVENUE NW,Yes! Organic,38.941036,-77.025529,20011
656,3928 14TH STREET NW,Morazan Grocery Store,38.939447,-77.033034,20011
657,3809 12TH STREET NE,Yes! Organic,38.936824,-76.990397,20017
658,3505 CONNECTICUT AVENUE NW,Target,38.935859,-77.058016,20008
659,3427 CONNECTICUT AVENUE NW,Streets Market,38.935243,-77.057887,20008
660,3425 CONNECTICUT AVENUE NW,Yes! Organic,38.935166,-77.05779,20008
661,3336 WISCONSIN AVENUE NW,Giant,38.934351,-77.072999,20016
662,3552 14TH STREET NW,Panam Grocery,38.935899,-77.033084,20010
663,1345 PARK ROAD NW,Giant,38.930822,-77.031924,20010
664,3158 MOUNT PLEASANT STREET NW,El Progreso Market,38.930205,-77.038273,20010
665,2006 RHODE ISLAND AVENUE NE,Good Food Markets,38.929451,-76.974819,20018
